created_at,tweet_id,text,lang,possibly_sensitive,type,clean_tweet
2021-11-22 20:22:55+00:00,1466140778263199747,"@davidemccune @Leftylockdowns1 @ChrisMasterjohn @DrJBhattacharya 100% agree! But if you’ve already had it then you’re good to go. Also, if you’ve had 2 shots, then why get a booster? Why isn’t it better to get Covid while it will be mild then you have nat imm?",en,False,replied_to,"['?', 'mild', 'agree', 'good', '%', '100', '!', 'imm', 'get', 'already', '2', 'better', 'shot', 'covid', 'go', 'nat', 'booster', 'also']"
2021-11-22 20:22:55+00:00,1466140778015739906,@troypallotto @waspoppop @jeremynewberger Plus Covid has a 99.9% survivability rating. HIV is permeant.,en,False,replied_to,"['%', 'rating', 'permeant', 'plus', '99', 'covid', 'survivability', 'hiv', '9']"
2021-11-22 20:22:55+00:00,1466140777889898500,"desgraçado, matou mais que a Covid https://t.co/ncXKg5gm3u",pt,False,quoted,"['matou', 'mais', 'covid', 'que', 'desgracado']"
2021-11-22 20:22:55+00:00,1466140777650794503,"For you dump anti vaccers! Televangelist Marcus Lamb, the founder of the conservative Christian Daystar Television Network, which repeatedly promoted anti-vaccine messages, died Tuesday after contracting COVID-19. He was 64.",en,False,,"['conservative', 'lamb', 'contracting', 'marcus', 'daystar', 'television', 'christian', 'message', 'televangelist', 'dump', 'died', 'vaccers', 'promoted', 'covid', '19', 'tuesday', 'network', '!', 'founder', 'anti', 'vaccine', 'repeatedly', '64']"
2021-11-22 20:22:55+00:00,1466140777613041680,"Rochester Amerks hockey games have been postponed through Friday due to COVID-19 protocols.

https://t.co/klAI4ihfNk",en,False,,"['postponed', 'due', 'rochester', 'game', 'friday', 'covid', '19', 'hockey', 'amerks', 'protocol']"
2021-11-22 20:22:55+00:00,1466140777575292932,"@PeterSweden7 Aboriginal teenagers who all tested negative for COVID, at that",en,False,replied_to,"['tested', 'aboriginal', 'negative', 'covid', 'teenager']"
2021-11-22 20:22:55+00:00,1466140777361416192,White becomes 2nd Bulls player with COVID-19 https://t.co/z9E5QNLc1G https://t.co/WqaottCA5j,en,False,,"['player', '2nd', 'white', 'covid', '19', 'bull', 'becomes']"
2021-11-22 20:22:55+00:00,1466140777277501452,https://t.co/WgIAMMBqhU,und,False,,[]
2021-11-22 20:22:55+00:00,1466140775096500239,También COVID JAJAJAJA https://t.co/fNbiiPuKut,es,False,quoted,"['jajajaja', 'tambien', 'covid']"
2021-11-22 20:22:54+00:00,1466140774886612998,"the irony of me having a reaction to my covid booster (which is a half-dose of the original vaccine), but not having a reaction from the first two (full) doses 😅",en,False,,"['irony', 'full', '(', 'two', 'vaccine', 'half', 'dos', 'reaction', 'which', 'covid', 'dose', ')', 'original', 'first', 'booster']"
