text,lang,possibly_sensitive,tweet_id,created_at,type,clean_tweet
Canadian Government : Stop the Canadian Government from mandating Covid Vaccine for truckers ! https://t.co/246cM44RPZ via @CdnChange,en,False,1466146298655129605,2021-11-24 20:44:51+00:00,,"['stop', '!', 'mandating', 'vaccine', 'covid', 'government', 'canadian', 'trucker']"
@519bill @gosrats @flappyphil @TroyWestwood Last I checked it was 99.4.  But 0.6 is a huge number.  The seasonal flu is 0.1.   COVID is 6 times deadlier than the seasonal flu. Context matters.,en,False,1466146296906010634,2021-11-24 20:44:51+00:00,replied_to,"['seasonal', '0', 'huge', '1', 'last', 'matter', 'context', 'checked', '6', '99', '4', 'deadlier', 'covid', 'time', 'number', 'flu']"
Arts and showbiz has taken a huge knock during this Covid-19 pandemic we don't need media adding to the anxiety.,en,False,1466146296759296000,2021-11-24 20:44:51+00:00,,"['need', '19', 'huge', 'pandemic', 'medium', 'knock', 'art', 'anxiety', 'showbiz', 'taken', 'covid', 'adding']"
"The good news: Colorado COVID-19 hospital demand is decreasing. BUT: the risk of encountering someone who is infected remains high. Vaccines, boosters, masks remain key tools. https://t.co/X1q8uxW244",en,False,1466146296352284681,2021-11-24 20:44:51+00:00,,"['good', 'tool', 'remain', 'booster', 'remains', 'infected', 'someone', 'decreasing', 'colorado', 'key', 'news', 'risk', 'covid', 'mask', 'demand', '19', 'vaccine', 'high', 'hospital', 'encountering']"
@ZackCoxNESN I knew something COVID related would happen with this game,en,False,1466146295559696405,2021-11-24 20:44:51+00:00,replied_to,"['happen', 'something', 'would', 'game', 'covid', 'knew', 'related']"
"@karin_metz zit ik toch weer een covid video te kijken, maar de wettige bewijzen zijn de moeite waard...
https://t.co/wEmf68O77C",nl,False,1466146295027048450,2021-11-24 20:44:51+00:00,replied_to,"['maar', 'bewijzen', 'video', 'zijn', 'een', 'kijken', 'covid', 'ik', 'te', 'de', 'wettige', 'toch', 'moeite', 'waard', 'metz', 'weer', 'zit']"
i go up stairs bc i am not getting into an elevator during covid and ahhhhhhh my breathing?!?!,en,False,1466146294238490624,2021-11-24 20:44:50+00:00,replied_to,"['ahhhhhhh', 'stair', '!', 'go', 'elevator', '?', 'bc', 'breathing', 'covid', 'getting']"
@chrisoconnor78 @beverleyturner You do realise how many people have had covid and think they’ve recovered… 🤔,en,False,1466146291856068613,2021-11-24 20:44:50+00:00,replied_to,"['many', 'people', 'recovered', 'think', 'realise', 'covid']"
"PEMERINTAH AJAK MASYARAKAT KETATKAN PROKES ANTISIPASI VARIAN OMICRON

Meski varian Omicron belum terdeteksi di Indonesia, namun kewaspadaan harus tetap dijaga agar tidak lagi terjadi peningkatan kasus COVID-19 secara signifikan.
    https://t.co/yOf3YiTuaF",in,False,1466146291570798594,2021-11-24 20:44:50+00:00,,"['harus', 'omicron', 'belum', 'di', 'masyarakat', 'prokes', 'meski', 'secara', 'tetap', 'terdeteksi', 'kasus', 'lagi', 'indonesia', 'signifikan', 'varian', 'agar', 'pemerintah', 'antisipasi', 'covid', 'peningkatan', 'ketatkan', 'tidak', '19', 'ajak', 'dijaga', 'namun', 'terjadi', 'kewaspadaan']"
"@mercedesschlapp Just greatly reduce transmission, severity of disease and opportunity for mutation.

But you know this.

Which COVID vaccine did you get, Mercedes?",en,False,1466146291440750596,2021-11-24 20:44:50+00:00,replied_to,"['get', '?', 'reduce', 'vaccine', 'mutation', 'disease', 'transmission', 'severity', 'greatly', 'covid', 'mercedes', 'know', 'opportunity']"
