lang,tweet_id,created_at,text,possibly_sensitive,type,clean_tweet
en,1466151306876309518,2021-11-26 21:04:45+00:00,"@ChristinVoniati This virus is very devastating, on Saturday my cousin’s best man’s son Vasilis died of Covid too at the age of 31. Unfortunately he wasn’t vaccinated and I’m not sure if Chris was too. I was told that he wasn’t but I can’t know for sure",False,replied_to,"['son', 'virus', 'cousin', 'man', 'chris', '31', 'died', 'not', 'vaccinated', 'sure', 'age', 'unfortunately', 'told', 'vasilis', ""'s"", 'best', 'covid', 'saturday', 'I', 'can', 'know', 'devastating']"
en,1466151306700144641,2021-11-26 21:04:45+00:00,@blkn340 Covid,False,replied_to,['covid']
pt,1466151303701307396,2021-11-26 21:04:45+00:00,@animesbolt e mesmo assim peguei covid😅,False,replied_to,"['covid', 'e', 'mesmo', 'peguei', 'assim']"
en,1466151303604838409,2021-11-26 21:04:45+00:00,"@gm_espi @atensnut Not too well ""educated"" if you don't know most of the those with covid are vaccinated.",False,replied_to,"['covid', 'espi', 'vaccinated', 'educated', 'well', 'know']"
it,1466151303512473602,2021-11-26 21:04:45+00:00,"EVENTI AVVERSI da VACCINO COVID.
Sono persone che hanno fatto quello che veniva richiesto e ora davanti ai danni subiti incontrano l’assenza delle istituzioni: accantonate o etichettate come ‘disturbate’ mentalmente, restano senza diagnosi né terapia 
https://t.co/MSEVLvoSfR",False,,"['senza', 'incontrano', 'richiesto', 'mentalmente', 'e', 'veniva', 'accantonate', 'sono', 'davanti', 'persone', 'come', ""'"", 'che', 'restano', 'danni', 'diagnosi', ""'disturbate"", 'vaccino', 'os', 'quello', 'avversi', 'da', ""l'assenza"", 'delle', 'ne', 'subiti', 'hanno', 'ai', 'etichettate', 'covid', 'terapia', 'istituzioni', 'eventi', 'fatto']"
es,1466151303353143304,2021-11-26 21:04:45+00:00,"@rosaicela_ @lopezobrador_ Lo ama tanto que ya se acerca al millón de muertos. Por #covid (pésimamente manejado); por falta de medicamentos (criminal); por tolerancia o complicidad con el crimen organizado. Podrá decir sus mentiras, ahí están las rumbas.",False,replied_to,"['acerca', 'medicamentos', 'sus', 'ya', 'falta', 'rumba', 'lo', 'la', '(', 'ama', 'tanto', 'el', 'tolerancia', 'podra', 'estan', 'con', ')', 'de', 'crimen', 'decir', 'pesimamente', 'al', 'se', 'por', 'complicidad', 'manejado', 'que', 'ahi', 'muertos', 'millon', 'criminal', 'organizado', 'mentiras']"
en,1466151303067881477,2021-11-26 21:04:45+00:00,"@jennyrickson @SallyJiggles @Roddy1982 @MrXisinNorfolk I’m afraid I have to agree with everything she said.
You are part of a death cult, promoting COVID-19.",False,replied_to,"['promoting', 'covid', 'said', 'I', 'afraid', 'everything', '19', 'death', 'agree', 'part', 'cult']"
pt,1466151303030190088,2021-11-26 21:04:45+00:00,"@JanainaDoBrasil Então Deputada @JanainaDoBrasil  que defendeu a Prevent? Tem algo a dizer?
https://t.co/auAA14Z8T6",False,replied_to,"['?', 'defendeu', 'dizer', 'deputada', 'algo', 'que', 'entao', 'prevent', 'tem']"
en,1466151302816141313,2021-11-26 21:04:45+00:00,"@JoeSilverman7 I only know what he stated on round table w few Drs. I'm definitely not any expert on Covid, but he/others were concerned about effects on ppl re: ludicrous *science talk being fed us. I kno he's *anti-science crap! For me, game changer would be 'how does he feel about Israel?'",False,replied_to,"['*', 'ludicrous', 'talk', 'kno', 'definitely', '!', 'game', 'ppl', 'changer', 'drs', ""'"", 'stated', 'feel', 'would', 'fed', 'round', '?', 'effect', 'table', 'anti', 'crap', 'science', 'expert', 'covid', 'israel', 'w', 'concerned', 'I', 'he/others', 'know', 'u', ""'how""]"
es,1466151302237405192,2021-11-26 21:04:44+00:00,"Los gobiernos del mundo durante la pandemia del COVID-19: poca anticipación, y mucha reacción.",False,,"['pandemia', 'covid', 'mundo', 'mucha', 'gobiernos', 'la', 'durante', 'anticipacion', '19', 'del', 'los', 'reaccion', 'poca']"
