possibly_sensitive,created_at,lang,text,tweet_id,type,clean_tweet
False,2021-11-27T18:03:21.000Z,en,Garrett found a black widow in the house. That's my limit. Time to sell.,1.46466E+18,,"['time', 'found', 'garrett', 'sell', 'widow', 'limit', 'house', 'black']"
False,2021-11-27T18:03:13.000Z,en,Southern Pacific FM Trainmaster Black Widow No SA-1012 Custom Train Cab 2392 - O Gauge 3-Rail https://t.co/jliXB3HvvR via @Etsy,1.46466E+18,,"['fm', '1012', '2392', 'train', 'trainmaster', 'sa', 'rail', 'custom', 'pacific', 'widow', 'cab', '3', 'gauge', 'southern', 'black']"
False,2021-11-27T18:03:05.000Z,en,"AMATW
Black Widow 
Endgame https://t.co/2PRacRRByq",1.46466E+18,quoted,"['amatw', 'endgame', 'widow', 'black']"
False,2021-11-27T18:02:20.000Z,pt,"Assistindo Black Widow de novo e pensando: me pisa Yelena, me bate e acaba comigo. Eu imploro.",1.46466E+18,,"['acaba', 'de', 'bate', 'assistindo', 'yelena', 'pisa', 'comigo', 'eu', 'pensando', 'imploro', 'widow', 'novo', 'e', 'black']"
False,2021-11-27T17:59:47.000Z,en,"@cyberfnn Captain America: The First Avenger
Captain Marvel
Iron Man 1 &amp; 2
Thor
Avengers
Thor 2 
Iron Man 3
Captain America: The Winter Soldier
Avengers: Age of Ultron
Cap Amer: CW
Black Widow
SpiderMan Homecoming
Black Panther
Doctor Strange
Thor: Ragnarok
Infinity War
Endgame",1.46466E+18,replied_to,"['endgame', 'homecoming', 'age', 'avenger', 'america', 'first', 'infinity', 'soldier', 'amer', 'widow', 'marvel', '1', 'cap', 'black', 'ultron', '&', 'iron', 'avenger', 'ragnarok', 'thor', 'war', 'amp', 'captain', 'man', 'doctor', 'cw', 'panther', 'strange', 'spiderman', 'winter', '2', '3']"
False,2021-11-27T17:57:42.000Z,fr,Black Widow et Hawkeye sont vraiment des ennemis récurrent d'Ironman dans les comics de 1964/1966,1.46465E+18,,"['1964/1966', 'comic', 'recurrent', 'ennemis', 'le', 'de', 'de', 'vraiment', ""d'ironman"", 'hawkeye', 'widow', 'et', 'sont', 'dans', 'black']"
False,2021-11-27T17:54:32.000Z,en,"@wintersloki that's hard, probably captain america the winter soldier, thor ragnarok and black widow maybe?",1.46465E+18,replied_to,"['probably', 'hard', 'thor', 'winter', '?', 'america', 'captain', 'soldier', 'widow', 'ragnarok', 'maybe', 'black']"
False,2021-11-27T17:53:45.000Z,en,"black widow, infinity war, captain america: the winter soldier https://t.co/UyugJIeiRI",1.46465E+18,quoted,"['war', 'winter', 'captain', 'america', 'infinity', 'soldier', 'widow', 'black']"
False,2021-11-27T17:52:49.000Z,en,@wintersloki winter soldier. infinity war. black widow,1.46465E+18,replied_to,"['war', 'winter', 'infinity', 'soldier', 'widow', 'black']"
False,2021-11-27T17:52:31.000Z,en,@Doubledown1138 In Black Widow is EVERY single character even the villain the comic relief?,1.46465E+18,replied_to,"['every', 'relief', '?', 'villain', 'black', 'comic', 'widow', 'even', 'character', 'single']"
False,2021-11-27T17:52:03.000Z,und,เพิ่งดู black widow จบ แงง รักนาตาชา god is a woman ของจริง,1.46465E+18,,"['woman', 'aengng', 'kh', 'raknaataachaa', 'ngcchring', 'widow', 'ephingduu', 'god', 'cchb', 'black', '`']"
False,2021-11-27T17:51:13.000Z,en,81.- Black Widow https://t.co/4aQg6jOqVv,1.46465E+18,replied_to,"['81', 'widow', 'black']"
False,2021-11-27T17:50:16.000Z,fr,Le thème ce soir c’est Black Widow,1.46465E+18,,"['le', 'soir', 'ce', 'black', ""c'est"", 'widow', 'theme']"
False,2021-11-27T17:50:11.000Z,en,"@wintersloki Antman, Winter Soldier, and Black widow",1.46465E+18,replied_to,"['winter', 'antman', 'soldier', 'widow', 'black']"
False,2021-11-27T17:49:36.000Z,en,Iron Man &amp; Black Widow https://t.co/yIEEhz9y8c,1.46465E+18,quoted,"['amp', '&', 'iron', 'man', 'widow', 'black']"
False,2021-11-27T17:48:46.000Z,cy,"@wintersloki catws
black widow
iron man 3",1.46465E+18,replied_to,"['catws', 'iron', 'man', 'widow', '3', 'black']"
False,2021-11-27T17:48:03.000Z,en,"Today we honor @JimiHendrix on what would have been his 79th birthday. See his left-handed Black Widow guitar at Treasures, presented by @USBank. https://t.co/eBfFwVm5qQ

Loan courtesy of Collection of Experience Hendrix, L.L.C. https://t.co/nWfp9WDiJK",1.46465E+18,,"['guitar', 'courtesy', 'presented', 'left', 'widow', '79th', 'would', 'collection', 'black', 'hendrix', 'treasure', 'experience', 'honor', 'c', 'loan', 'handed', 'birthday', 'today', 'l', 'see']"
False,2021-11-27T17:47:58.000Z,fr,@_lena_bnst oui mais black widow cest avant infinity war…,1.46465E+18,replied_to,"['war', 'lena', 'oui', 'cest', 'infinity', 'widow', 'avant', '@', 'bnst', 'black', 'mais']"
False,2021-11-27T17:47:29.000Z,en,"Comics Haul: Freak Bros, Green Lantern, Black Widow, and More! https://t.co/v3XCOe5QZY via @YouTube Got some comics this week!",1.46465E+18,,"['lantern', 'bros', 'comic', 'more', '!', 'freak', 'widow', 'green', 'haul', 'black']"
False,2021-11-27T17:45:55.000Z,en,"@FWBESS nonton sangchi, black widow, sama Hawkeye. are u?",1.46465E+18,replied_to,"['?', 'sangchi', 'nonton', 'hawkeye', 'widow', 'sama', 'you', 'black']"
False,2021-11-27T17:45:36.000Z,ca,la escena post creditos de black widow mia muertps,1.46465E+18,,"['post', 'muertps', 'de', 'creditos', 'la', 'mia', 'widow', 'escena', 'black']"
False,2021-11-27T17:44:38.000Z,en,"@wintersloki Black widow, age of ultron and Iron man 3.",1.46465E+18,replied_to,"['ultron', 'age', 'iron', 'man', 'widow', '3', 'black']"
False,2021-11-27T17:43:32.000Z,tr,"https://t.co/5IaEATrF72 Widow&amp;avatar=6

Linke tıkla kayıt ol kyc doğrulaması yap kazanmaya başla. https://t.co/sbhSsd5WOI",1.46465E+18,,"['kazanmaya', 'dogrulamasi', 'yap', 'tikla', 'basla', 'linke', 'old', 'kayit', 'kyc']"
