lang,tweet_id,possibly_sensitive,created_at,text,type,clean_tweet
pt,1466155236372983809,False,2021-11-28 21:20:22+00:00,@andrea_mmf Sendo mais clara... COVID!,replied_to,"['covid', 'sendo', 'mmf', '!', 'clara', 'mais']"
en,1466155235915677702,False,2021-11-28 21:20:22+00:00,@communistlucy Wrestling is fake Charlotte had covid and no one was ready shut up leave your bullshit to yourself,replied_to,"['covid', 'fake', 'one', 'charlotte', 'bullshit', 'leave', 'ready', 'wrestling', 'shut']"
en,1466155235639017482,False,2021-11-28 21:20:22+00:00,@WeTheSisters @KamalaHarris @JoeBiden Joe has not gained any jobs those are people going back to work after a year of Covid shut downs. That's like if I take your car from you then give it back 6 mths later and claim I bought you a new car. Do the research and you will see.,replied_to,"['car', 'later', 'covid', 'down', 'take', 'joe', 'mths', 'new', 'shut', 'people', 'like', 'gained', 'give', 'bought', 'job', 'see', 'year', 'back', 'claim', 'research', 'work', 'going', '6']"
en,1466155234812649474,False,2021-11-28 21:20:22+00:00,@TimRunsHisMouth Covid,replied_to,['covid']
en,1466155233919307776,False,2021-11-28 21:20:22+00:00,"@bonglez @Radio702 Mor than 40 million people in this country are not jabbed and have survived covid-19 for 2 years. Some had it and did not even know they had it. Try disputing this real ""fact""!!!!",replied_to,"['year', 'covid', 'mor', 'survived', 'real', '!', 'country', 'disputing', 'try', 'jabbed', 'even', '19', '40', 'million', 'fact', '2', 'people', 'know']"
en,1466155233860534275,False,2021-11-28 21:20:22+00:00,"@David32856757 @kicknasstknname @AlixG_2 Sorry David, thought this was a continuation of another thread. Here is the link I was referring to. https://t.co/HEU75F5E4V",replied_to,"['sorry', 'thought', 'another', 'david', 'continuation', 'thread', 'referring', 'link', '2']"
en,1466155231671029761,False,2021-11-28 21:20:21+00:00,"So now the US has confirmed its first case of the Omicron variant of COVID-19, I assume that the Canadian government will halt all travel between Canada and the United States, right?
https://t.co/X5swbO8FgD",,"['case', 'covid', 'united', 'first', 'canadian', 'canada', '?', 'variant', 'travel', 'omicron', '19', 'state', 'right', 'government', 'confirmed', 'u', 'assume', 'halt']"
en,1466155230891065350,False,2021-11-28 21:20:21+00:00,@DanPatrick Grid failure and COVID are responsible for supply chain snags and inflation. Texas R’s failed on both counts.  Pass it on.,replied_to,"['covid', 'responsible', 'r', 'grid', 'snag', 'count', 'supply', 'inflation', 'failure', 'failed', 'texas', 'pas', ""'s"", 'chain']"
en,1466155230127702020,False,2021-11-28 21:20:21+00:00,This is probably the best way to fight Covid https://t.co/RkJJR60myU,quoted,"['probably', 'covid', 'fight', 'best', 'way']"
en,1466155230043975681,False,2021-11-28 21:20:21+00:00,"Former Trump Chief of Staff Mark Meadows details how Trump initially tested positive for COVID last fall days ahead of his first debate in Cleveland with Joe Biden, but went ahead with his schedule anyway. https://t.co/2NAtUkhrTW",,"['fall', 'covid', 'joe', 'former', 'cleveland', 'positive', 'day', 'ahead', 'staff', 'tested', 'detail', 'debate', 'last', 'meadow', 'biden', 'schedule', 'anyway', 'trump', 'went', 'first', 'initially', 'chief', 'mark']"
