text,possibly_sensitive,created_at,lang,tweet_id,type,clean_tweet
Black Widow https://t.co/wgYSr89WQW #BlackWidow,False,2021-11-29T02:59:42.000Z,en,1465153465290797059,,"['widow', 'black']"
"black widow, alicia en el país de las maravillas y a través del espejo. https://t.co/jPncQiXpLI",False,2021-11-29T02:58:46.000Z,es,1465153230661292038,quoted,"['pais', 'de', 'del', 'alicia', 'widow', 'el', 'black', 'trave', 'en', 'la', 'maravilla', 'espejo']"
@newsmax Pelosi looks like a Black Widow coaxing her next mate.,False,2021-11-29T02:57:52.000Z,en,1465153004370288641,replied_to,"['pelosi', 'like', 'coaxing', 'mate', 'look', 'next', 'widow', 'black']"
"@ErikJLarsen Sometimes I just can't help myself lol I just love a beautiful comic heroine who kick some major ass and stop city stopping threats and none fit that category like heroines like Ant,Black widow,spider woman,Classic miss Marvel,she hulk and much more",False,2021-11-29T02:57:00.000Z,en,1465152787923312642,replied_to,"['woman', 'much', 'as', 'ant', 'stopping', 'none', 'lol', 'help', 'beautiful', 'widow', 'not', 'love', 'major', 'hulk', 'classic', 'category', 'can', 'kick', 'marvel', 'like', 'fit', 'miss', 'black', 'sometimes', 'spider', 'heroine', 'threat', 'heroine', 'comic', 'stop', 'city']"
"So today I finally watched the Black Widow movie, the first ep of Falcon and the Winter Soldier, and both eps of Hawkeye. I had put my Marvel impulses away for a while but was in the mood today, I guess.",False,2021-11-29T02:54:08.000Z,en,1465152064737193988,,"['impulse', 'movie', 'hawkeye', 'mood', 'ep', 'guess', 'widow', 'put', 'marvel', 'eps', 'black', 'today', 'finally', 'watched', 'falcon', 'winter', 'soldier', 'away', 'first']"
"That would be so cool. Here in Best Buy (I'm in Canada if that matters), I saw these Black Widow Blu-Rays with red cases so hopefully that can happen again with The Batman. https://t.co/Cu9OjCHZQs https://t.co/QRQ85AM6Ax",False,2021-11-29T02:54:04.000Z,en,1465152048714985477,quoted,"['buy', 'would', 'best', '(', ')', 'I', 'happen', 'widow', 'blu', 'black', 'canada', 'hopefully', 'matter', 'cool', 'saw', 'batman', 'case', 'red', 'ray']"
@AjepArts @March4th2022 I went to Best Buy once last month and they had these Black Widow Blu-Rays with red cases so they could do red cases for The Batman too. https://t.co/vd44mijX7m,False,2021-11-29T02:52:25.000Z,en,1465151634519085059,replied_to,"['buy', 'could', 'batman', 'month', 'last', 'blu', 'black', 'widow', 'best', 'case', 'red', 'ray', 'went']"
Still bitter one of my colleagues spoiled me for Endgame. Rilek2 je dia cakap : Man....tony stark mati...black widow pun mati....,False,2021-11-29T02:50:22.000Z,en,1465151119219249153,,"['spoiled', 'colleague', 'still', 'man', 'rilek2', 'cakap', 'dia', 'one', 'endgame', 'tony', 'mati', 'black', 'widow', 'je', 'pun', 'stark', 'bitter']"
"I rated Black Widow (2021) 7/10  #IMDb https://t.co/CaJbKDHvm4 ‘wasn’t bad, lot of action. I’m biased because I’m just not a fan of the minor heroes. Lot of butts in this one. Lot of long choreographed fight scenes. They are getting old. MAJOR spoilers at the end credits ugh’",False,2021-11-29T02:50:21.000Z,en,1465151113880031235,,"['2021', ')', 'rated', 'widow', 'black', '7/10', '(']"
"#KindleDeal! For you #comics lovers, there are tons of @Marvel Epic collections on sale for just $3.99 each. Tons to choose from! #ad #amreading https://t.co/C1M8qLqjNR https://t.co/OvOgH97oOn",False,2021-11-29T02:49:01.000Z,en,1465150777949831168,,"['99', 'choose', 'collection', 'epic', 'lover', 'ton', '!', 'sale', '$', 'from', '3']"
watching black widow for the first time,False,2021-11-29T02:47:28.000Z,en,1465150389850759169,,"['time', 'widow', 'black', 'watching', 'first']"
@hyukafloo te metiste con black widow,False,2021-11-29T02:46:58.000Z,en,1465150264713695234,replied_to,"['con', 'widow', 'black', 'metiste', 'te']"
@27Zawag That sounds so fun!!! I usually just take my dad but starting with black widow I started inviting some friends and I decided to invite a bunch of friends who arent even that into marvel to come see NWH and they all agreed so that’s fun lol,False,2021-11-29T02:45:28.000Z,en,1465149886115065860,replied_to,"['inviting', 'take', 'fun', 'lol', 'started', 'invite', 'dad', 'even', 'usually', 'sound', 'widow', 'come', 'starting', 'decided', 'marvel', 'bunch', 'see', 'black', '!', 'agreed', 'nwh', 'friend']"
"@srtalee A mi mientras no me maten a Black Widow en los comics, todo bien. Como que las películas son un chicle noma, jejejeje…
Aún no perdono a la DC por haber matado al gran Ted Kord (Blue Beetle). Y si hay alguien a quien realmente odio con todo mi ser, es a Maxwell Lord.",False,2021-11-29T02:45:14.000Z,es,1465149825276530690,replied_to,"['peliculas', 'que', 'noma', 'ted', 'alguien', 'ser', '(', 'lord', 'gran', 'como', 'los', ')', 'perdono', 'realmente', 'widow', 'haber', 'matado', 'blue', 'la', 'al', 'maxwell', 'odio', 'e', 'chicle', 'un', 'aun', 'todo', 'black', 'si', 'maten', 'en', 'son', 'hay', 'kord', 'con', 'por', 'bien', 'jejejeje', 'dc', 'mientras', 'mi', 'quien', 'comic', 'beetle', 'la']"
"""I- why-""

Confused black widow squeaks https://t.co/BW4TrmW5J3",False,2021-11-29T02:44:25.000Z,en,1465149621731303439,quoted,"['widow', 'confused', 'squeak', 'black']"
"@JimmyBallgme420 Touched 240 with the real monster and steadily was at 210 with the Black Widow ghost

they both feel solid",False,2021-11-29T02:44:03.000Z,en,1465149526868733957,replied_to,"['touched', 'ghost', 'feel', 'real', 'steadily', 'black', 'widow', '240', '210', 'monster', 'solid']"
Black Widow Part 2 l 20/20 https://t.co/TQOM5pSTnM,False,2021-11-29T02:43:06.000Z,en,1465149288590323722,,"['part', '20/20', '2', 'widow', 'black', 'l']"
"K and I started watching through the MCU timeline. 

So far she’s a fan of Black Widow and Iron Man. Don’t anybody tell her about Civil War.",False,2021-11-29T02:42:25.000Z,en,1465149118427369472,,"['man', 'mcu', 'iron', 'black', 'widow', 'timeline', 'watching', 'tell', 'civil', 'fan', 'anybody', 'war', 'started', 'far', 'k']"
Parquet Courts - Black Widow Spider [13:40],False,2021-11-29T02:41:34.000Z,en,1465148905612472322,,"[']', 'court', 'widow', 'black', '40', 'spider', 'parquet', '13', '[']"
Watching Black Widow and stockinf up on GIFs for the next 3 weeks of Illinois basketball https://t.co/1vycMLYnyx,False,2021-11-29T02:41:08.000Z,en,1465148794631340036,,"['basketball', 'week', 'stockinf', 'next', 'widow', 'black', 'watching', 'illinois', 'gifs', '3']"
"So, I watched #Shangchi and #blackwidow finally. Here are my thoughts. 

Shang-Chi is the beginning of a new franchise. 8/10

Black Widow was out of step. The jokes fell flat (cause we saw them in the trailers) and it wasn't much of a spy film. 3/10 

Black Widow &lt; Thor 2",False,2021-11-29T02:40:21.000Z,en,1465148598815965186,,"['much', 'new', 'shang', '(', 'spy', '3/10', 'film', 'chi', 'trailer', '8/10', 'thor', ')', 'widow', 'step', '&', 'black', 'finally', 'franchise', 'watched', 'beginning', 'saw', 'joke', '2', 'flat', 'lt', 'because', 'thought', 'fell']"
Throwback to when I sent my alarm clock in ten minute increments the morning black widow’s tickets went on presale because I don’t think I ever bought movie tickets faster OR got out of bed faster in my entire life,False,2021-11-29T02:40:20.000Z,en,1465148592952426500,,"['ten', 'presale', 'movie', 'minute', 'ever', 'sent', 'got', 'think', 'widow', 'entire', ""'s"", 'bought', 'increment', 'black', 'ticket', 'bed', 'faster', 'clock', 'throwback', 'alarm', 'morning', 'went', 'life']"
I cry actual tears every time (every time) I realise I’ll have no more Black widow.,False,2021-11-29T02:40:06.000Z,en,1465148532730601474,,"['actual', ')', 'realise', 'I', 'time', 'tear', 'every', 'black', 'widow', '(', 'cry']"
