possibly_sensitive,lang,tweet_id,text,created_at,type,clean_tweet
False,pt,1466160047722057730,BRF projeta boom de festas de final de ano e vendas em níveis pré-Covid https://t.co/GrIgNCmz6E,2021-11-29 21:39:29+00:00,,"['e', 'vendas', 'ano', 'de', 'pre', 'niveis', 'boom', 'projeta', 'brf', 'covid', 'festas', 'final']"
False,en,1466160047004663809,"@JewhadiTM Could it be that a new variant can indicate a weakening of Covid-19 virus? These governments instill fear in the peoples mind, that each time there’s a new variant it becomes more lethal than the previous",2021-11-29 21:39:29+00:00,replied_to,"['could', 'people', 'instill', 'virus', 'lethal', '19', 'new', 'fear', 'variant', 'covid', 'government', 'mind', 'becomes', 'previous', 'time', '?', 'indicate', 'weakening']"
False,es,1466160046660894726,"@JaeVIVE @AytoJaen Ojala en vez de luces , no haya que poner velas por los muertos de covid tras las fiestas iluminadas .",2021-11-29 21:39:29+00:00,replied_to,"['vela', 'por', 'haya', 'fiesta', 'luce', 'en', 'los', 'muertos', 'de', 'ojala', 'vez', 'que', 'tras', 'covid', 'la', 'iluminadas', 'poner']"
False,pt,1466160045490642951,quantas milhares de vidas perdidas e casos de covid lotando leitos de hospital serão necessários pra entenderem que não devem fazer carnaval e tão pouco tirar a obrigação do uso da máscara?,2021-11-29 21:39:29+00:00,,"['hospital', 'lotando', 'nao', 'carnaval', 'pra', 'quantas', 'tao', 'da', 'obrigacao', 'pouco', 'e', 'uso', 'serao', 'leitos', 'que', 'devem', 'mascara', 'tirar', 'entenderem', '?', 'perdidas', 'de', 'milhares', 'vidas', 'covid', 'casos', 'necessarios', 'fazer']"
False,es,1466160045239029766,"🇺🇸🦠🚨 #VARIANTE | Detectan primer caso de variante Ómicron en EEUU en persona que viajó desde Sudáfrica el 22 de noviembre y dio positivo a la Covid-19 el 29 de noviembre.

@PLprensalatina https://t.co/EGPcsV4IMA
#1Diciembre",2021-11-29 21:39:29+00:00,,"['22', 'positivo', 'primer', 'dio', 'caso', 'el', 'variante', 'sudafrica', '29', 'que', 'desde', 'omicron', 'eeuu', 'en', 'viajo', 'persona', '|', 'noviembre', 'detectan', '19', 'la', 'de', 'covid']"
False,en,1466160045192798212,@electric_tees @DylanJohnThoma5 Ah gutted for you. I missed loads  last month because of covid! If you have one left I’ll take it,2021-11-29 21:39:29+00:00,replied_to,"['take', 'tee', 'month', 'I', 'gutted', '!', 'one', 'left', 'covid', 'missed', 'load', 'last', 'ah']"
False,en,1466160044253356035,"Vaccinations lead to more variants!

These doctors explain how mass vaccinations cause COVID to evolve beyond the Omicron variant (below).

Perhaps Africa, where COVID is virtually eliminated by HCQ, has the answer.

#COVID19 #Omicron #OmicronVariant #NuVariant #BigPharma #Fauci https://t.co/piD1iPUHhM https://t.co/VfJHqP6bZy",2021-11-29 21:39:29+00:00,quoted,"['hcq', 'answer', 'eliminated', 'explain', 'virtually', '(', 'evolve', 'doctor', 'vaccination', 'lead', '!', 'africa', 'omicron', 'mass', ')', 'variant', 'below', 'beyond', 'perhaps', 'covid', 'variant']"
False,en,1466160044190359564,"@ShaunLintern @thesundaytimes 4. Article just on COVID in children. 
- Lack of vaccine or mitigation.
- facts regarding rates of deaths / hospital admissions / PIMS-TS complications from COVID infection in &lt;18s
- Clinically vulnerable children told to ""get on with life as normal""
- school fines/deregistering",2021-11-29 21:39:29+00:00,replied_to,"['lack', 'hospital', 'fines/deregistering', 'vaccine', 'told', '/', 'normal', 'article', 'mitigation', 't', 'life', 'rate', 'fact', '18', '&', 'get', 'pims', 'lt', 'complication', 'vulnerable', '4', 'clinically', 'death', 'admission', 'infection', 'covid', 'regarding', 'school', 'child']"
False,en,1466160042256728065,The league lied on LeBron having covid???,2021-11-29 21:39:28+00:00,,"['league', 'lied', 'covid', '?', 'lebron']"
False,en,1466160042240094214,WHO warns world creating ‘toxic’ recipe for new COVID-19 variants as Omicron spreads https://t.co/nc9whWaWAI,2021-11-29 21:39:28+00:00,,"['world', '19', 'warns', 'variant', 'spread', ""'"", 'covid', ""'toxic"", 'recipe', 'creating', 'omicron', 'new']"
