tweet_id,created_at,lang,text,possibly_sensitive,type,clean_tweet
1465928802454970371,2021-12-01 06:20:36+00:00,en,"All I want for Christmas, is fair legislative representation, gun reform, and some sort of universal covid response.",False,,"['sort', 'universal', 'covid', 'reform', 'legislative', 'want', 'fair', 'response', 'gun', 'christmas', 'representation']"
1465928801548836868,2021-12-01 06:20:36+00:00,en,@BAYC2745 @Animetas1 @psychedelic_nft @ongkarhian @iHocusPocus_ most fashionable protection against Covid ever,False,replied_to,"['protection', 'covid', 'ever', 'nft', 'fashionable']"
1465928800185851906,2021-12-01 06:20:36+00:00,fr,"@LiliQUEST1
Je te l'ai fait 
https://t.co/zoF671uifD",False,,"['je', 'te', ""l'ai"", 'fait']"
1465928799363735552,2021-12-01 06:20:36+00:00,it,"Vaccini Covid, il dramma ignorato | L'editoriale di Federico Fubini https://t.co/lKN043W3bg",False,,"['dramma', 'vaccini', ""l'editoriale"", 'federico', 'covid', 'il', 'di', 'fubini', 'ignorato', '|']"
1465928798877011970,2021-12-01 06:20:35+00:00,en,I got fucking covid 🙄,False,,"['got', 'covid', 'fucking']"
1465928793319743488,2021-12-01 06:20:34+00:00,en,"Live by the sword, die by the sword. #Covid_19 #Omicron https://t.co/QqTmxhpg1V",False,quoted,"['sword', '19', 'die', 'live']"
1465928789007888386,2021-12-01 06:20:33+00:00,en,Maharashtra marathwada in the district diat village st bus people Lok sabha off on🦠 Lockheed understand not closed police👮😷 days😷🦠 date 1-12-2021 date 1-1-2023 COVID🦠😷 uddhav Thackeray chief minister😷 COVID😷🦠 deihl supreme Court Justice customer LIVE today COVID🦠😷,False,,"['2023', '1', 'people', 'uddhav', 'police', 'day', 'justice', 'lok', 'maharashtra', 'lockheed', 'chief', 'diat', 'thackeray', 'village', 'court', '12', 'deihl', 'understand', 'sabha', 'bus', 'live', 'today', 'customer', 'marathwada', 'st', '2021', 'closed', 'date', 'covid', 'district', 'minister', 'supreme']"
1465928787875483649,2021-12-01 06:20:33+00:00,en,omicron: Japan starts booster Covid-19 vaccinations amid omicron scare https://t.co/0Qals0g9TN,False,,"['amid', 'covid', 'scare', 'omicron', 'booster', 'japan', 'vaccination', '19', 'start']"
1465928787409850369,2021-12-01 06:20:33+00:00,en,Jammu divisional commissioner reviews Covid mitigation measures amid Omicron scare https://t.co/fket1qfVeq,False,,"['amid', 'review', 'covid', 'jammu', 'divisional', 'scare', 'measure', 'omicron', 'mitigation', 'commissioner']"
1465928783513497603,2021-12-01 06:20:32+00:00,en,@JoopSoesan @FoxNews She has completely lost it. Mild Covid?,False,replied_to,"['covid', 'completely', 'lost', 'mild', '?']"
