country,full_name,geo.place_id,name
Estados Unidos,"Danville, VA",a58a872123811d63,Danville
Uruguay,"Montevideo, Uruguay",01a9dbb9232f0fac,Montevideo
Reino Unido,"Royal Tunbridge Wells, England",0188b75e89ed1e0d,Royal Tunbridge Wells
Brasil,"Río de Janeiro, Brasil",97bcdfca1a2dca59,Río de Janeiro
Estados Unidos,"Palm Springs, CA",4265ece9285a2872,Palm Springs
Canadá,Ottawa - Gatineau,00905fa63942b3ef,Ottawa - Gatineau
Reino Unido,"Leyland, England",4b6c0ea1297b258a,Leyland
Estados Unidos,"Maple Grove, MN",6390886d39468948,Maple Grove
México,"Querétaro, Querétaro Arteaga",d3492c68c5661201,Querétaro
Estados Unidos,"Tallahassee, FL",ecbe2aea853af44e,Tallahassee
Portugal,"Vila Franca de Xira, Portugal",1fefad105170fb4e,Vila Franca de Xira
