,country,full_name,geo.place_id,name
0,Estados Unidos,"Sugar Land, TX",7a41192a2879ee24,Sugar Land
1,Estados Unidos,"Camuy, Puerto Rico",01ad28a428fd291d,Camuy
2,Canadá,"Toronto, Ontario",3797791ff9c0e4c6,Toronto
3,Australia,"Queensland, Australia",7e347291be7bbab4,Queensland
4,Estados Unidos,"Washington, DC",01fbe706f872cb32,Washington
5,Estados Unidos,"Myrtle Beach, SC",17a83a55221b0671,Myrtle Beach
6,España,"Madrid, España",206c436ce43a43a3,Madrid
7,Indonesia,"Cimahi Utara, Indonesia",e2b550b9dddf7c87,Cimahi Utara
8,Alemania,"Ramstein-Miesenbach, Deutschland",75c3cd2ed9856cc3,Ramstein-Miesenbach
9,Estados Unidos,"Florida, USA",4ec01c9dbc693497,Florida
10,Reino Unido,"Belfast, Northern Ireland",28679b23ed15b380,Belfast
