country,full_name,geo.place_id,name
Barbados,Barbados,80f128c34d2549c6,Barbados
España,"A Guarda, España",e6e7935543c394c8,A Guarda
México,"Tijuana, Baja California",2400156d6de057e3,Tijuana
Estados Unidos,"San Jose, CA",7d62cffe6f98f349,San Jose
Estados Unidos,"Crowley, LA",6728e3852e199bb5,Crowley
Estados Unidos,"Los Angeles, CA",3b77caf94bfc81fe,Los Angeles
Estados Unidos,"Everett, WA",76e74b864547959b,Everett
Barbados,Barbados,80f128c34d2549c6,Barbados
Estados Unidos,"Florida, USA",4ec01c9dbc693497,Florida
Estados Unidos,"Pahrump, NV",0128fa53607453b1,Pahrump
República de Filipinas,"Ciudad de Manila, NCR (Región de la Capital Nacional)",01bb53b81ba40196,Ciudad de Manila
