lang,tweet_id,created_at,text,possibly_sensitive,type
en,1466151306876309518,2021-11-26 21:04:45+00:00,"@ChristinVoniati This virus is very devastating, on Saturday my cousin’s best man’s son Vasilis died of Covid too at the age of 31. Unfortunately he wasn’t vaccinated and I’m not sure if Chris was too. I was told that he wasn’t but I can’t know for sure",False,replied_to
en,1466151306700144641,2021-11-26 21:04:45+00:00,@blkn340 Covid,False,replied_to
pt,1466151303701307396,2021-11-26 21:04:45+00:00,@animesbolt e mesmo assim peguei covid😅,False,replied_to
en,1466151303604838409,2021-11-26 21:04:45+00:00,"@gm_espi @atensnut Not too well ""educated"" if you don't know most of the those with covid are vaccinated.",False,replied_to
it,1466151303512473602,2021-11-26 21:04:45+00:00,"EVENTI AVVERSI da VACCINO COVID.
Sono persone che hanno fatto quello che veniva richiesto e ora davanti ai danni subiti incontrano l’assenza delle istituzioni: accantonate o etichettate come ‘disturbate’ mentalmente, restano senza diagnosi né terapia 
https://t.co/MSEVLvoSfR",False,
es,1466151303353143304,2021-11-26 21:04:45+00:00,"@rosaicela_ @lopezobrador_ Lo ama tanto que ya se acerca al millón de muertos. Por #covid (pésimamente manejado); por falta de medicamentos (criminal); por tolerancia o complicidad con el crimen organizado. Podrá decir sus mentiras, ahí están las rumbas.",False,replied_to
en,1466151303067881477,2021-11-26 21:04:45+00:00,"@jennyrickson @SallyJiggles @Roddy1982 @MrXisinNorfolk I’m afraid I have to agree with everything she said.
You are part of a death cult, promoting COVID-19.",False,replied_to
pt,1466151303030190088,2021-11-26 21:04:45+00:00,"@JanainaDoBrasil Então Deputada @JanainaDoBrasil  que defendeu a Prevent? Tem algo a dizer?
https://t.co/auAA14Z8T6",False,replied_to
en,1466151302816141313,2021-11-26 21:04:45+00:00,"@JoeSilverman7 I only know what he stated on round table w few Drs. I'm definitely not any expert on Covid, but he/others were concerned about effects on ppl re: ludicrous *science talk being fed us. I kno he's *anti-science crap! For me, game changer would be 'how does he feel about Israel?'",False,replied_to
es,1466151302237405192,2021-11-26 21:04:44+00:00,"Los gobiernos del mundo durante la pandemia del COVID-19: poca anticipación, y mucha reacción.",False,
en,1466151300928876544,2021-11-26 21:04:44+00:00,"@BradH36 @WaveAether @ThomasManson420 @illinidiva12 @AmiableQuinn @NateSilver538 Finally someone who supports the end of sober driving mandates!

Covid has killed 28x more a year than drunk drivers at their height! Let’s end the tyranny of sober driving mandates! Seatbelts only work 40% of the time!!!",False,replied_to
en,1466151300463214594,2021-11-26 21:04:44+00:00,@JustinTrudeau Are you going to put out a tweet with condolences and well wishes to those that have been vaccine injured and deleted? Hospital wait times were long prior to COVID. How about you send condolences to those that have had their surgeries cancelled / delayed too?,False,replied_to
en,1466151297586020353,2021-11-26 21:04:43+00:00,Negative Covid Test! Holidaze here I come!,False,
pt,1466151297095192580,2021-11-26 21:04:43+00:00,Alemanha tem maior número... https://t.co/ItXWMyEczW,False,
en,1466151296835194895,2021-11-26 21:04:43+00:00,"@StateDept 'Gayle Smith’s Service as the Coordinator for Global COVID-19 Response and Health Security' The wrong person for a critical role the US must play! Gayle is Mama TPLF, and Africans do not trust her! #UnityForEthiopia #NoMore #TPLFSURRENDERNOW #EthiopiaPrevails",False,
en,1466151296591880193,2021-11-26 21:04:43+00:00,New York 'Entering A Vulnerable Time' With COVID https://t.co/9mzk7iS8I0,False,
