,text,lang,possibly_sensitive,tweet_id,created_at,type
0,"Weakest MCU film this yr: Black Widow

Strongest so far: Shang-Chi

Eternals was entertaining.",en,False,1464468386054873094,2021-11-27T05:37:26.000Z,
1,"@H0sie_rights @wandasolsen Yelena from the Black Widow film, Natasha's sorta but not actual little sister.",en,False,1464468200695943169,2021-11-27T05:36:42.000Z,replied_to
2,"BLACK WIDOW 2004, ISSUE FOUR https://t.co/XQsgHKpZrv",en,False,1464468051449942019,2021-11-27T05:36:06.000Z,
3,"Hannah &gt;&gt;&gt;&gt;&gt; Black Widow
Can't believe this is the final season https://t.co/svT1R7M2sk",en,False,1464466928148389890,2021-11-27T05:31:38.000Z,quoted
4,i miss her so much from black widow https://t.co/amLLMjoG9E,en,False,1464466763253358599,2021-11-27T05:30:59.000Z,quoted
5,@OSPyoutube Honestly Black Widow was done dirty by the MCU,en,False,1464466531652411395,2021-11-27T05:30:04.000Z,replied_to
6,@suzyproms Black widow,en,False,1464466361506172928,2021-11-27T05:29:23.000Z,replied_to
7,@Mutatio2 sorry black widow clears,en,False,1464466260654280706,2021-11-27T05:28:59.000Z,replied_to
8,"BLACK WIDOW 2001, ISSUE 1 https://t.co/qTL9Oc4J5v",en,False,1464466197500497925,2021-11-27T05:28:44.000Z,
9,https://t.co/XETSaMVy5a,und,False,1464465657836228608,2021-11-27T05:26:35.000Z,
10,"Marvel exists and superheroes are cool :) my favourite ones are Captain America (Rogers &amp; Wilson), Bucky Barnes, Captain Marvel, Thor, Groot, Spider-Man, Black Widow, Kate Bishop, Ant Man, Scarlet Witch :)",en,False,1464465494535069696,2021-11-27T05:25:57.000Z,replied_to
11,"have now seen black widow , shang chi, and eternals https://t.co/eZkY5zki5I",en,False,1464464972336017412,2021-11-27T05:23:52.000Z,
12,12. I had an absolutely ridiculous skill burst in September 2011. Went from being unable to pass the top 5 hardest WoR songs to a Black Widow of La Porte 5 stars and Modern Day Cowboy FC in a matter of 3 weeks,en,False,1464464476602880000,2021-11-27T05:21:54.000Z,replied_to
13,"@DrewsClues @ComicBook let us put a little perspective on this:

1) Today, #DisneyPlus Latin America list featured ""Marvel Assembled - Eternals on Dec. 22""
2) 45 days after Eternals release is... December 20.
3) The Assembled specials release same day (Shang-Chi) or after (Black Widow &amp; all series) https://t.co/UErmRjlTuP",en,False,1464464130300129288,2021-11-27T05:20:31.000Z,replied_to
14,Black widow undercover https://t.co/whrMGYCoAy,en,False,1464464040277594114,2021-11-27T05:20:10.000Z,quoted
15,winter soldier &amp; black widow should’ve banged in each and every movie they were in together https://t.co/n6a1bcBBmv,en,False,1464464033738903561,2021-11-27T05:20:08.000Z,quoted
16,@IamLuklo Black Widow is above Eternals this whole thing is an L wym,en,False,1464463616514609154,2021-11-27T05:18:29.000Z,replied_to
17,the cgi in some parts of black widow is so.,en,False,1464462951646121985,2021-11-27T05:15:50.000Z,
18,"@matthilferty @streamingguider In fairness, the fools have recently fucked up their schedule with movies on wednesdays. Becoming Cousteau, Black Widow, and a few others. it makes no sense. that part is believable. the fact that a brand new site has disney staff leaking to them iis not",en,False,1464462594488553472,2021-11-27T05:14:25.000Z,replied_to
19,"@YorozuyaMahito Wanda vision, Loki, Hawkeye, black widow, eternals, Shang Chi, Falcon and the Winter Soldier.

Those are the only ones I can remember atm.",en,False,1464462337864257541,2021-11-27T05:13:24.000Z,replied_to
20,I enjoyed Wandavision in a different way than I enjoyed TFATWS in a different way than I enjoyed Loki in a different way than I enjoyed What If in a different way than I enjoyed Black Widow in a different way than I enjoyed Eternals in a different way than I enjoyed Shang Chi.,en,False,1464462283115929600,2021-11-27T05:13:11.000Z,replied_to
21,@IamLuklo I should clarify the only MCU movies i dont like are black widow and thor 2,en,False,1464462202065276930,2021-11-27T05:12:52.000Z,replied_to
22,"@maria_my4angels @anet2111 Like the black widow. Well, if you're gonna go, what better way ... 😵‍💫",en,False,1464461722392178689,2021-11-27T05:10:57.000Z,replied_to
23,"@cosmosgiving It sometimes feels like an MMO wrt how it gives quests to you. The story is a mixed bag you may vibe you may not. The game also had Vivienne(seen below) she has a sad widow story with some soggy white man who dies, you cant date her cuz the game dosen’t care about black people. https://t.co/6OmOcX3762",en,True,1464461343310991361,2021-11-27T05:09:27.000Z,replied_to
24,"@diefornils se llama florence pugh es actriz 
sale en mujercitas (la nueva versión), black widow y es la protagonista de dwd",es,False,1464461204420632578,2021-11-27T05:08:54.000Z,replied_to
25,"@jtrebach We only have these ones here in South Africa, not the black widow. Pretty though. https://t.co/TZsYSop2jz",en,False,1464460910634967044,2021-11-27T05:07:44.000Z,replied_to
26,@aqs713 Watch Black Widow and then Shang Chi. Never a good idea to finish with the lesser film.,en,False,1464460832377647108,2021-11-27T05:07:25.000Z,replied_to
