possibly_sensitive,created_at,lang,tweet_id,text,type
False,2021-11-27 21:14:24+00:00,en,1466153735416172546,"@blackintheempir Exactly. Engineered.
https://t.co/gwf2jeK62L",replied_to
False,2021-11-27 21:14:24+00:00,fr,1466153734803791875,"@trutherbleuchef @SkyNews Ridiculous isn’t it?
Covid 
Covid
Climate Change
Covid
Climate Change
Climate Change 
Etc Etc",replied_to
False,2021-11-27 21:14:24+00:00,fr,1466153734132711433,@barriere_dr Vous n etes qu' un homme. Vous finirez poussière comme nous tous. 5% des lits occupés pr cause covid. Vous etes un abruti et N avez aucune moralité,replied_to
False,2021-11-27 21:14:24+00:00,es,1466153733843300363,"Frente a nueva ola de COVID, AMLO opta por la CALMA; expertos ven mala gestión en el manejo de la PANDEMIA https://t.co/H6uSvYwhkD",
False,2021-11-27 21:14:24+00:00,en,1466153733826523145,Johnson under growing pressure over No 10 parties during lockdown last year ⁦@guardian⁩  https://t.co/L6h1glqtTD,
False,2021-11-27 21:14:24+00:00,de,1466153733792964618,"@Arachnidualny Achtung, achtung- covid panzer!",replied_to
False,2021-11-27 21:14:24+00:00,it,1466153733574860811,Lo STOP all’obbligo del vaccino anti Covid arriva dalla Costituzione. https://t.co/xPh9iYaEhk,
False,2021-11-27 21:14:24+00:00,en,1466153733549477888,"@nanciipantsii @josecarreras1 @Breaking911 I have and guess what, in Ireland hospitalized covid cases, 60 percent of deaths were Vaccinated!!!",replied_to
False,2021-11-27 21:14:24+00:00,en,1466153731263647749,"@RepChipRoy FACT CHECK:
1. Idiot Chip Roy is lying, again!
2. 114,000,000 Americans are infected w/Covid and 810,000 have died.
3. The U.S. is suffering from the PANDEMIC, declared a national crisis.  
4. Vaccine mandates are saving American lives &amp; restoring our economy! https://t.co/Kn6XqGwt9r",replied_to
False,2021-11-27 21:14:23+00:00,und,1466153730173140994,https://t.co/zx8sNdHFhZ,
False,2021-11-27 21:14:23+00:00,en,1466153729825067020,"Interested in working at the airport? Check out the Midway Concessionaire Job Fair Wed Dec 8, 10am – 12pm. All COVID-19 protocols will be observed. For more info, click here: /bit.ly/3G8Azof https://t.co/7oh3xmVzbg",
True,2021-11-27 21:14:23+00:00,es,1466153729422471168,Los casos de COVID se estabilizan en el mundo a pesar de la alerta por la variante ómicron https://t.co/He3ac5oPzk,
False,2021-11-27 21:14:23+00:00,en,1466153728696717313,"@KidSwagYolo1 @ASlavitt You literally used anecdotes to respond and justify your reasoning. You can't escape it.

Let me ask you again...Was Trump correct about HCQ being effective against COVID? 

How did YOU CHOOSE to respond? Anecdotes over the clinical evidence? Hmm...",replied_to
False,2021-11-27 21:14:23+00:00,en,1466153728034041857,"White becomes 2nd Bulls player with COVID-19 (https://t.co/lGsAR0X7EB)

CHICAGO -- Chicago Bulls guard Coby White tested positive for COVID-19, coach Billy Donovan ...

Add your highlights:
https://t.co/bGEZf8C33I
 #ChicagoBulls #NBA",
False,2021-11-27 21:14:22+00:00,en,1466153726394126337,@BTC_TradingLab Covid FUD. Stack Sats. Nothing to see.,replied_to
False,2021-11-27 21:14:22+00:00,es,1466153726264156167,Los niños de 5 a 11 años de edad ya pueden recibir la vacuna contra el COVID-19 https://t.co/IfFmlNzXn4,
False,2021-11-27 21:14:22+00:00,en,1466153726033334273,"Under Biden @PressSec Nothing is Under Control STOP LYING

Inflation is Not Under Control

Border Security is Not Under Control

Covid 19 is Not Under Control 

Crime Not Under Control

Drugs Not Under Control

Taliban Not Under Control

WH Lying 2 Americans is Not 
Under Control https://t.co/HVAojCRCtH",quoted
False,2021-11-27 21:14:22+00:00,en,1466153724447973378,They don’t want it to end. #Infinity #COVID https://t.co/psdbbk2L9B,
False,2021-11-27 21:14:22+00:00,en,1466153723772772360,I think the covid erased his ability to self-censor https://t.co/6JcOeUzgPo,quoted
