lang,tweet_id,possibly_sensitive,created_at,text,type
pt,1466155236372983809,False,2021-11-28 21:20:22+00:00,@andrea_mmf Sendo mais clara... COVID!,replied_to
en,1466155235915677702,False,2021-11-28 21:20:22+00:00,@communistlucy Wrestling is fake Charlotte had covid and no one was ready shut up leave your bullshit to yourself,replied_to
en,1466155235639017482,False,2021-11-28 21:20:22+00:00,@WeTheSisters @KamalaHarris @JoeBiden Joe has not gained any jobs those are people going back to work after a year of Covid shut downs. That's like if I take your car from you then give it back 6 mths later and claim I bought you a new car. Do the research and you will see.,replied_to
en,1466155234812649474,False,2021-11-28 21:20:22+00:00,@TimRunsHisMouth Covid,replied_to
en,1466155233919307776,False,2021-11-28 21:20:22+00:00,"@bonglez @Radio702 Mor than 40 million people in this country are not jabbed and have survived covid-19 for 2 years. Some had it and did not even know they had it. Try disputing this real ""fact""!!!!",replied_to
en,1466155233860534275,False,2021-11-28 21:20:22+00:00,"@David32856757 @kicknasstknname @AlixG_2 Sorry David, thought this was a continuation of another thread. Here is the link I was referring to. https://t.co/HEU75F5E4V",replied_to
en,1466155231671029761,False,2021-11-28 21:20:21+00:00,"So now the US has confirmed its first case of the Omicron variant of COVID-19, I assume that the Canadian government will halt all travel between Canada and the United States, right?
https://t.co/X5swbO8FgD",
en,1466155230891065350,False,2021-11-28 21:20:21+00:00,@DanPatrick Grid failure and COVID are responsible for supply chain snags and inflation. Texas R’s failed on both counts.  Pass it on.,replied_to
en,1466155230127702020,False,2021-11-28 21:20:21+00:00,This is probably the best way to fight Covid https://t.co/RkJJR60myU,quoted
en,1466155230043975681,False,2021-11-28 21:20:21+00:00,"Former Trump Chief of Staff Mark Meadows details how Trump initially tested positive for COVID last fall days ahead of his first debate in Cleveland with Joe Biden, but went ahead with his schedule anyway. https://t.co/2NAtUkhrTW",
en,1466155229972504582,False,2021-11-28 21:20:21+00:00,"@DarDjc81 @DanRather YES, WE WILL CONTINUE TO TAKE HIM AT HIS WORD! HE CALLED COVID A HOAX OVER AND OVER AND AT HIS RALLIES!!! MOCKING MASK WEARING!  I SAY HES  RESPONSIBLE FOR 800,000 DEATHS IN AMERICA!! WAKE UP!!",replied_to
de,1466155229804703754,False,2021-11-28 21:20:21+00:00,@_richtig_falsch an und mit Covid gestorben,replied_to
es,1466155229196402690,False,2021-11-28 21:20:21+00:00,"Hagamos estas fiestas con consciencia.
Recuerda que 1 de cada 2 mexicanos no está vacunado, sobre todo los menores de edad.
Sigue cuidándote del COVID-19 
Aún alcanzas a vacunarte, regístrate:
https://t.co/0ncTCMqpzR

¡Navidad sin contagios! https://t.co/xQWxBgp4jv",
en,1466155228781326337,False,2021-11-28 21:20:21+00:00,I danced so much last night and it’s the first time since pre Covid I’ve danced with strangers and DAMN it felt good.,
en,1466155227900526609,False,2021-11-28 21:20:20+00:00,"Rory James Nairn: 26-Year-Old Dies 12 Days After Receiving Pfizer COVID-19 Vaccine, Fiancee Speaks Out : The COVID World https://t.co/FIzMq3jM6Q",
en,1466155225182474242,False,2021-11-28 21:20:20+00:00,Fauci says COVID-19 diverted resources from fight against AIDS https://t.co/OXBAR0l6va https://t.co/4rmkPgMvsS,
es,1466155224394092544,False,2021-11-28 21:20:19+00:00,"#ULTIMAHORA 
Detectan primer caso de la variante #Omicron de #COVID19 en #California #USA 😱😱
@CDCgov @WhiteHouse 
#Covid_19 #OmicronVariant #OmicronAlert 
https://t.co/WheNDxlzoM",
pt,1466155223542546449,False,2021-11-28 21:20:19+00:00,e vamos a caminho de dois anos de covid,
en,1466155222900875265,False,2021-11-28 21:20:19+00:00,“When one kid in the class catches covid we don’t deem anyone else in the room as being a close contact”. https://t.co/boBZzvYGio,
en,1466155222783438853,False,2021-11-28 21:20:19+00:00,"@BakerJe08261575 @CassyWearsHeels Nobody. Nobody said that the vaccine was a 100% guarantee against getting COVID. And you think it would be different for the latest variant?

We have these variants because so many people are not vaccinated. And then you act like the vaccine is useless.

https://t.co/LllmNO2WpO",replied_to
und,1466155222544404490,False,2021-11-28 21:20:19+00:00,https://t.co/pppvexTASa,replied_to
cs,1466155222175256578,False,2021-11-28 21:20:19+00:00,"@MichaelRomancov Taky vůbec nechápu, proč není vseobecný bojkot  olympiady teď v Číně, už jen za ten Covid, nemluvě o dalších věcech..",replied_to
nl,1466155221160189964,False,2021-11-28 21:20:19+00:00,"De lijn van Van Haga is op het covid dossier over het algemeen heel goed. Geen complotgekheid, geen angstzaaien, maar gewoon feitelijk en nuchter. Super! https://t.co/2cxmiL99ti",quoted
und,1466155220531040266,False,2021-11-28 21:20:19+00:00,https://t.co/IhDyJFHmr2,
fr,1466155219700658178,False,2021-11-28 21:20:18+00:00,"Vaccination contre le Covid-19 : ""Il y a des doses en quantités adéquates et une organisation qui monte en puissance"", assure Alain Fischer

https://t.co/6H5RMng8v1 https://t.co/H0s277nPep",
en,1466155219352317952,False,2021-11-28 21:20:18+00:00,"I don’t think anyone should be speaking about covid in Australia until we actually get hit with COVID In Australia - let’s talk about it in 6 months time , this is the same talk that was going on in 2020 when people thought it was going to fizzle and we would open by jan 21 😳",
pt,1466155219176329220,False,2021-11-28 21:20:18+00:00,@randolfeap É só não tomar vacina anti covid. 🙆‍♂️🤦🏻,replied_to
fr,1466155218979147777,False,2021-11-28 21:20:18+00:00,"Malgre "" l'echec Covid "", #Sanofi persiste dans sa recherche sur l [ https://t.co/FwmIvrhGfV ] Il y a 12heures Le laboratoire francais precise egalement qu'il va acquerir la #Biotech autrichienne Origimm #Biotechnology, pour un montant non devoile. https://t.co/mboS5z2mqe",
