text,possibly_sensitive,created_at,lang,tweet_id,type
Black Widow https://t.co/wgYSr89WQW #BlackWidow,False,2021-11-29T02:59:42.000Z,en,1465153465290797059,
"black widow, alicia en el país de las maravillas y a través del espejo. https://t.co/jPncQiXpLI",False,2021-11-29T02:58:46.000Z,es,1465153230661292038,quoted
@newsmax Pelosi looks like a Black Widow coaxing her next mate.,False,2021-11-29T02:57:52.000Z,en,1465153004370288641,replied_to
"@ErikJLarsen Sometimes I just can't help myself lol I just love a beautiful comic heroine who kick some major ass and stop city stopping threats and none fit that category like heroines like Ant,Black widow,spider woman,Classic miss Marvel,she hulk and much more",False,2021-11-29T02:57:00.000Z,en,1465152787923312642,replied_to
"So today I finally watched the Black Widow movie, the first ep of Falcon and the Winter Soldier, and both eps of Hawkeye. I had put my Marvel impulses away for a while but was in the mood today, I guess.",False,2021-11-29T02:54:08.000Z,en,1465152064737193988,
"That would be so cool. Here in Best Buy (I'm in Canada if that matters), I saw these Black Widow Blu-Rays with red cases so hopefully that can happen again with The Batman. https://t.co/Cu9OjCHZQs https://t.co/QRQ85AM6Ax",False,2021-11-29T02:54:04.000Z,en,1465152048714985477,quoted
@AjepArts @March4th2022 I went to Best Buy once last month and they had these Black Widow Blu-Rays with red cases so they could do red cases for The Batman too. https://t.co/vd44mijX7m,False,2021-11-29T02:52:25.000Z,en,1465151634519085059,replied_to
Still bitter one of my colleagues spoiled me for Endgame. Rilek2 je dia cakap : Man....tony stark mati...black widow pun mati....,False,2021-11-29T02:50:22.000Z,en,1465151119219249153,
"I rated Black Widow (2021) 7/10  #IMDb https://t.co/CaJbKDHvm4 ‘wasn’t bad, lot of action. I’m biased because I’m just not a fan of the minor heroes. Lot of butts in this one. Lot of long choreographed fight scenes. They are getting old. MAJOR spoilers at the end credits ugh’",False,2021-11-29T02:50:21.000Z,en,1465151113880031235,
"#KindleDeal! For you #comics lovers, there are tons of @Marvel Epic collections on sale for just $3.99 each. Tons to choose from! #ad #amreading https://t.co/C1M8qLqjNR https://t.co/OvOgH97oOn",False,2021-11-29T02:49:01.000Z,en,1465150777949831168,
watching black widow for the first time,False,2021-11-29T02:47:28.000Z,en,1465150389850759169,
@hyukafloo te metiste con black widow,False,2021-11-29T02:46:58.000Z,en,1465150264713695234,replied_to
