possibly_sensitive,created_at,lang,text,tweet_id,type
False,2021-11-29T04:20:58.000Z,en,"RT @TinyWidowDancer: 𝙉𝙤𝙩𝙝𝙞𝙣𝙜 𝙡𝙖𝙨𝙩𝙨 𝙛𝙤𝙧𝙚𝙫𝙚𝙧.

Natasha Romanoff 

Black Widow, Descriptive, Based on MCU and Comics, NSFW 18+, Bisexual, Cros…",1465173917849505799,retweeted
False,2021-11-29T04:20:55.000Z,en,RT @lovelyYeyeP: Te amo black widow #ParaVencerAThanos https://t.co/ajyisasaxW,1465173905363152899,retweeted
False,2021-11-29T04:20:22.000Z,en,"RT @imaginejim: Hey @marvelchampions community, as my bio suggests, I like to ask random questions so here is one:

What champion has the b…",1465173768876158978,retweeted
False,2021-11-29T04:19:58.000Z,en,"Hey @marvelchampions community, as my bio suggests, I like to ask random questions so here is one:

What champion has the best Heavy Attack ANIMATION (not ability based, just looks cool)?

I'm sure I'll see a lot of Doom, Apoc &amp; CGR but for me, it is Black Widow (Claire Voyant).",1465173667311230978,
False,2021-11-29T04:19:49.000Z,en,@SmashleyFC And timeline is mostly in release order except black widow and captain marvel and captain America the first avenger,1465173631332352005,replied_to
False,2021-11-29T04:19:46.000Z,en,RT @celebs_hotspot: Boobies &amp; Booties of Black Widow https://t.co/ynHFWOTQlY,1465173617600253961,retweeted
False,2021-11-29T04:18:56.000Z,en,@diometrics Noooooooooo! Spiders good! Spiders eat mosquitos! My dad was bit by a black widow and temporarily paralyzed! Spiders are cute and sometimes fuzzy! Such good bugs!,1465173405133594635,replied_to
False,2021-11-29T04:18:21.000Z,en,RT @TSPIC12: Scarlett Johansson in ' Black Widow ' (2021) https://t.co/rCbVZ5v6wS,1465173260287500288,retweeted
False,2021-11-29T04:17:35.000Z,en,"@ThiefCGT We loved Black Widow!! Only major issue is that we should’ve gotten it sooner, like where it actually takes place in the canon. Story still was worth telling, but Nat deserved her solo movie a long time ago, y’all",1465173065713729543,replied_to
False,2021-11-29T04:16:42.000Z,en,"Black Widow bland! (I do like Florence Pugh, though.)",1465172843012964352,
False,2021-11-29T04:16:30.000Z,en,"@Wick014 1. Suicide squad
2. Wandavision
3. Shang chi
4. Justice league
5. Venom 2
6. Black widow
7. Loki
8. Falcon and the winter soldier ( didn't finish)

Didn't watch eternals or what if.",1465172793624973319,replied_to
False,2021-11-29T04:15:00.000Z,en,"RT @Bisleri_maymer: No One 

MCU to Toni Stark and Black Widow before Endgame : https://t.co/enA4ch24uK",1465172418251526147,retweeted
False,2021-11-29T04:13:44.000Z,en,"RT @justgrabmywater: hey #mcutwt i'm not new but i'm trynna be more active on here bc it's fun so yeah some characters i like are  
⁃captai…",1465172099752869891,retweeted
False,2021-11-29T04:13:28.000Z,en,@TTHOOM @gonzagonzalez91 @FandomMenaceLs It has nothing to do with a female lead. No one liked bre. Then when the movie came out she was wooden as hell cause she was suppressing her emotions due to the kree brainwashing.  Ppl wanted a black widow movie for a long time and wandavison was well received as well.,1465172030903488518,replied_to
False,2021-11-29T04:13:14.000Z,en,"1. WandaVision - 9.6/10
2. Shang-Chi - 9.3/10
3. The Suicide Squad - 9.2/10
4. Loki - 9.1/10
5. Eternals - 8.5/10
6. Falcon &amp; Winter Soldier - 8.4/10
7. Black Widow - 8.2/10
8. Snyder’s Justice League - 7.7/10
9. Venom 2 - 7.5/10
10.What If? - 7.5/10",1465171973080768512,replied_to
False,2021-11-29T04:12:54.000Z,en,RT @TSPIC12: Scarlett Johansson in ' Black Widow ' (2021) https://t.co/rCbVZ5v6wS,1465171887906983936,retweeted
False,2021-11-29T04:12:40.000Z,en,"RT @leaderyeons: 211128 everline offline #Sangyeon #상연

Q. (to sangyeon) if the boyz were marvel heroes

iron man: sangyeon
captain america…",1465171829878833153,retweeted
False,2021-11-29T04:11:54.000Z,en,|| the Lady/Lady!Six would be Black Widow or Silk. Child Six would be Jubilee or Hit-girl.,1465171636764565504,
True,2021-11-29T04:11:52.000Z,en,RT @missveronikab: Lots of super hot Black Widow content on my Only Fans so you should join :) https://t.co/O6uy9Ehsrb,1465171629865152517,retweeted
False,2021-11-29T04:11:49.000Z,es,"Wey me estoy dando cuenta qur hay una película donde salen thor, loki, black widow, hulk, iron man, spiderman y cao América juntos?!!!!",1465171615944167428,
False,2021-11-29T04:11:44.000Z,en,"RT @leaderyeons: 211128 everline offline #Sangyeon #상연

Q. (to sangyeon) if the boyz were marvel heroes

iron man: sangyeon
captain america…",1465171596813824002,retweeted
False,2021-11-29T04:11:30.000Z,en,@AsianWifeTakes This guy is gonna die soon and black widow inherit his house and all savings,1465171534578913280,replied_to
False,2021-11-29T04:11:18.000Z,en,@DMcWildin That too idk their new writers don’t even try with the dialogue or the scripts. Like especially the black widow writers like how  do you have task master has a man as more in-depth characters  then just change it,1465171485748826116,replied_to
False,2021-11-29T04:10:29.000Z,en,Black Widow movie was pretty cool,1465171279036788748,
False,2021-11-29T04:10:23.000Z,ja,私はマウスがLogicool G502 Hero、キーボードがRazer Black Widowのオレンジ軸デス。,1465171254827433987,
False,2021-11-29T04:09:50.000Z,en,RT @lovelyYeyeP: Te amo black widow #ParaVencerAThanos https://t.co/ajyisasaxW,1465171116146659328,retweeted
False,2021-11-29T04:09:31.000Z,en,Te amo black widow #ParaVencerAThanos https://t.co/ajyisasaxW,1465171038170279936,
False,2021-11-29T04:09:10.000Z,en,RT @studios_queen: Take a closer look at the incredible Black Widow Black &amp; White Suit 1/4 Scale Statues https://t.co/U8JAfzGtY1 via @YouTu…,1465170950710726662,retweeted
False,2021-11-29T04:07:11.000Z,en,"RT @Bisleri_maymer: No One 

MCU to Toni Stark and Black Widow before Endgame : https://t.co/enA4ch24uK",1465170448438628356,retweeted
False,2021-11-29T04:06:58.000Z,en,"Especially given the success of Winter Soldier, so weird that Marvel didn’t think a Black Widow movie would sell",1465170395124932619,
False,2021-11-29T04:06:58.000Z,en,@TheClemReport Has to watch Black Widow before Hawkeye though,1465170394961391619,replied_to
False,2021-11-29T04:06:41.000Z,en,@Irwinator2020 *gasp* you take that back! midsommar was masterpiece. i trade black widow for midsommar eventhough yelena is my baby girl,1465170325054713860,replied_to
False,2021-11-29T04:06:36.000Z,en,"RT @leaderyeons: 211128 everline offline #Sangyeon #상연

Q. (to sangyeon) if the boyz were marvel heroes

iron man: sangyeon
captain america…",1465170303944839171,retweeted
True,2021-11-29T04:05:46.000Z,en,RT @missveronikab: Lots of super hot Black Widow content on my Only Fans so you should join :) https://t.co/O6uy9Ehsrb,1465170092048666633,retweeted
