lang,tweet_id,possibly_sensitive,created_at,text,type,withheld.copyright,withheld.country_codes
pt,1465852330130214914,False,2021-12-01T01:16:44.000Z,Quem escreveu esse roteiro de Black Widow???? https://t.co/dFtvFShQSw,,,
en,1465852330042171403,False,2021-12-01T01:16:44.000Z,@alexintexass Lol basically shows black widow and her “sister” Yelena taking down the red room organization (which is where she was trained into being an assassin) to stop them from creating more assassins like them,replied_to,,
en,1465852284357812233,False,2021-12-01T01:16:33.000Z,"@historyofthemcu When he was reminiscing in Black Widow, I was *really* hoping we'd get a flashback where he was going toe to toe with Cap, even though the timelines don't match.",replied_to,,
en,1465852126459011073,False,2021-12-01T01:15:55.000Z,@TheSamWeezy_YT @DB12AND3FAN @CyberDalek17 @SSGPrinceVegeta I find it funny that mj looks like black widow in that third one.,replied_to,,
en,1465851294573334528,False,2021-12-01T01:12:37.000Z,"@MunstaMasta I wish we would've got more Ronin time with him man. Cause him slaughtering Yakuzas in his ronin fit would've been awesome. Just imagine an Origin movie like Black Widow

Hawkeye: Ronin 

Bruhhh. I got robbed yo https://t.co/0J1qAwYoFG",replied_to,,
en,1465851085554282501,False,2021-12-01T01:11:47.000Z,"@iPROTECT94 Harry Styles, Louis Tomlinson, Niall Horan, Dylan O'Brien, Tom Hiddleston.
Frutilla, limón, menta granizada, chocolate, vainilla.
Agua.........................................mmmm
Strawberry, banana, cherry, watermelon, kiwi.
Volver al futuro, karate kid, avengers, black widow... https://t.co/oS0YNBSHp4",replied_to,,
en,1465850901197848583,False,2021-12-01T01:11:03.000Z,@PlayAvengers All I want to know is how do I get Spider-Man's Black Widow Man outfit that thing is awesome but has no mention of how to get it,replied_to,,
es,1465850688869601282,False,2021-12-01T01:10:13.000Z,@BuhardiMarvel Black widow tenía un record?,replied_to,,
en,1465850153609355272,False,2021-12-01T01:08:05.000Z,"Will ‘Venom’ Be the Next Hollywood Film With China Trouble After ‘The Eternals,’ ’Shang-Chi’ and ‘Black Widow’? https://t.co/qjQHfyxfqy via @variety",,,
en,1465849460731301893,False,2021-12-01T01:05:20.000Z,Black widow... me falta verla https://t.co/5JVFJrQ63a,quoted,,
pt,1465849172448395269,False,2021-12-01T01:04:11.000Z,"@itsjoaopedroFB @thiagoromariz @thiegonovais mas saiu no mesmo momento - 4 meses antes, e Black Widow recomeçou o marketing no mesmo tempo até com trailer novo",replied_to,,
en,1465849136792707085,False,2021-12-01T01:04:03.000Z,the nirvana “smells like teen spirit” cover in the beginning of black widow &gt;&gt;&gt;.,,,
en,1465848139974385666,False,2021-12-01T01:00:05.000Z,Black Widow (2021) Review - Much Better Than Expected #MovieReview #FilmTwitter #BlackWidow #Marvel #MCU #Disney+ https://t.co/qOffcaoMU2,,,
en,1465848106914885637,False,2021-12-01T00:59:57.000Z,@NewRockstars It's okay. I like the intro for Kate's character but they had the continuity error of the tower not being attacked. It's the same level of just being entertaining enough to keep watching to make sure to keep up what's going on with the MCU as Black Widow was. So I guess that fits,replied_to,,
en,1465847733282033668,False,2021-12-01T00:58:28.000Z,"The Spider meets The Black Widow. #Spiderman #SidermanNoWayHome

https://t.co/HtZ9BV1qqy https://t.co/txrCF1jR1s",,,
pt,1465847362727952398,False,2021-12-01T00:57:00.000Z,"@Brunin_eu black widow 🤝 berlim
filme solo depois de morrer que não vai gerar importância nenhuma na história principal",replied_to,,
en,1465846866130702338,False,2021-12-01T00:55:01.000Z,Does anybody know if I need to watch Black Widow to be caught up in the MCU? I’m just missing Black widow and eternals,,,
es,1465846002829737984,False,2021-12-01T00:51:35.000Z,"La gente: Spiderman.

Yo: sigo anclada en Black Widow.",,,
en,1465845989160402946,False,2021-12-01T00:51:32.000Z,"And because of the MCU, characters like Iron Man, Thor, Loki, Black Widow, Hawkeye, Falcon, Winter Soldier, Thanos, fuckin’ STAR-LORD, are quickly becoming more household names than The Flash, Green Lantern, Black Canary, Green Arrow, Martian Manhunter.",replied_to,,
en,1465845903470862348,False,2021-12-01T00:51:12.000Z,Bro traffic getting held up because Black widow and Captain America fighting this metal armed mf up the road 🤦🏾‍♂️😒 https://t.co/wOhvtma46Q,quoted,,
en,1465845864790855681,False,2021-12-01T00:51:02.000Z,"there's no one better to have on your side in a world of gods and super soldiers and a hulk, if you will. i can't wait to see where black widow goes next and what she has coming up for herself. she's the best. love you, scarlett johansson.",,,
en,1465845657755918338,False,2021-12-01T00:50:13.000Z,"I genuinely miss cosplaying for movies, and if I do go see FFH in theaters I will do a Black Widow one, but that's a big if",,,
en,1465844604893372427,False,2021-12-01T00:46:02.000Z,"If you haven't bought the game yet and you want a game that you can play as Spider-Man, Ms Marvel, Black Widow and Captain America, get MUA3",replied_to,,
en,1465844403784855556,False,2021-12-01T00:45:14.000Z,"Only 4 other programmes made by a streaming service cracked the top 100 most watched programmes on British television sets in October
They were Black Widow on @disneyplus along with You, the Guilty and Maid on @netflix
Not a single programme from @amazon @PrimeVideo made the list",replied_to,,
en,1465844378530942978,False,2021-12-01T00:45:08.000Z,"@NotAlexSheppard Is that a chicken head hooker, or a crackhead hooker? Or even one of those senior citizen black widow kinda hookers?",replied_to,,
en,1465844031129198592,False,2021-12-01T00:43:45.000Z,@DB44143189 @loverboymedia And then you post the black widow gif. L,replied_to,,
en,1465843852036747269,False,2021-12-01T00:43:03.000Z,"@BookstoreThor My favorite was Godzilla vs Kong. Dune was a close second for me. Just saw Shang-Chi and Black Widow a few days ago, and they were mediocre at best. Other than Free Guy I have no desire to see anything on this list. Maybe Jungle Cruise if bored or NTTD when it comes out.",replied_to,,
en,1465843673766187012,False,2021-12-01T00:42:20.000Z,I fell asleep during Black Widow…twice,,,
en,1465843311671971840,False,2021-12-01T00:40:54.000Z,"Iron Man - The Rock 
Cpt America - John Cena 
Thor - Roman Reigns 
Spiderman - Ricochet 
Hulk- Brock Lesner 
Black Widow - Charlotte 
Hawkeye - Seth Rollins 
Nick Fury - Malcolm Velli
Wanda - Becky Lynch https://t.co/vpYikd1HnM",quoted,,
es,1465843261386416128,False,2021-12-01T00:40:42.000Z,"@Kurotoshiroo Cuándo salió Stampede valía 9€ 
Cuándo vi Black Widow 9.90 y Eternals 10€30 ha subido 1€ en 20 días 💀 https://t.co/TxfZWBOZVj",replied_to,,
en,1465842174918987776,False,2021-12-01T00:36:23.000Z,"BLACK WIDOW 2014, ISSUE TWO https://t.co/k1ZzRcfzQw",,,
en,1465841904113831942,False,2021-12-01T00:35:18.000Z,Will be watching black widow again hehe,,,
es,1465840981266165763,False,2021-12-01T00:31:38.000Z,"@gilmoreswft la única que vi fue black widow y también porque fueron todos mis amigos, después de eso NADA",replied_to,,
en,1465840889448697856,False,2021-12-01T00:31:16.000Z,If Kate saw Black Widow instead of Clint: Mom I need two guns,,,
en,1465840646082736132,False,2021-12-01T00:30:18.000Z,Was Black Widow a good movie or am I just in love with Florence Pugh?,,,
en,1465840628638654465,False,2021-12-01T00:30:14.000Z,"People are REALLY excited to see Spider-Man: No Way Home! The film sold the most day-one tickets since Avengers: Endgame, surpassing the likes of Black Widow and The Rise of Skywalker. https://t.co/iIQdN5cSAt https://t.co/EV7KpeNl1a",,,
en,1465840204028071940,False,2021-12-01T00:28:33.000Z,"BLACK WIDOW 2020, ISSUE 11 https://t.co/m784DG82I2",,,
en,1465840086914932736,False,2021-12-01T00:28:05.000Z,"@blurayangel Marvel: Black Widow
DC: Wonder Woman",replied_to,,
en,1465839743770546180,False,2021-12-01T00:26:43.000Z,The opening credits of Black Widow is a perfect example of why you must oppose communist regimes at all costs. The state does not come before the individual and their own families.,,,
en,1465839681644417035,False,2021-12-01T00:26:28.000Z,"@Fandango I haven't watched F9, A quiet place part 2, no time to die, dune, or Godzilla vs Kong but here is my list for the rest,
 6. Jungle Cruise
5. Eternals
4. Black Widow
3. Free Guy
2. Venom: Let There Be Carnage
1. Shang-Chi

That will change on December 16th 🕷🕸",replied_to,,
en,1465838673505787914,False,2021-12-01T00:22:28.000Z,@kcw24 Good!  They are a LOT of fun.  Be sure to try the new Atari Recharged games- like Centipede and Black Widow.,replied_to,,
en,1465838637845729281,False,2021-12-01T00:22:19.000Z,@JpK0332 Good!  They are a LOT of fun.  Be sure to try the new Atari Recharged games- like Centipede and Black Widow.,replied_to,,
en,1465838339265896453,False,2021-12-01T00:21:08.000Z,I know action movie car chases are unbelievable in general but the fact these cars took on basically no damage has me like 🤨 at least in black widow that car was basically falling apart by the end of the chase,replied_to,,
en,1465838134139236355,False,2021-12-01T00:20:19.000Z,@anchorsawaysam Once Black Widow get a new motor at 100k I want a race because you got dumb muthafukas too 😂 https://t.co/UCYFnvYlKK,replied_to,,
en,1465838036793577479,False,2021-12-01T00:19:56.000Z,i know some ppl didn’t like taskmaster in black widow but the character was scored really well,,,
en,1465838025057964043,False,2021-12-01T00:19:53.000Z,"I LOVE BLACK WIDOW! (Marvels Avengers Game) (Pt. 7) #PS4share #youtube #gaming #blackwidow #theavengers #positvity 
https://t.co/FuIyU1jea1",,,
en,1465838017227153411,False,2021-12-01T00:19:51.000Z,@LadyHammer0509 Good!  They are a LOT of fun.  Be sure to try the new Atari Recharged games- like Centipede and Black Widow.,replied_to,,
en,1465837850537054211,False,2021-12-01T00:19:12.000Z,@erodasgard Me I watched black widow just for it in case yelena appears,replied_to,,
