tweet_id,lang,possibly_sensitive,created_at,text,type
1465878012063268875,en,False,2021-12-01T02:58:47.000Z,"update: i like thor but not the thor movies. captain america is okay, don’t love. black widow, iconic, crazy that it took this long for her to have her own movie. love iron man in theory but in practice he’s a glorified elon musk which is gross. https://t.co/YThSaGgkXH",quoted
1465877870396461062,in,False,2021-12-01T02:58:13.000Z,"Kadang masih ga habis pikir, Black Widow dibikin film dengan villain yang wah dan CGI spektakuler, sedangkan Hawkeye dibikinin series dengan villain yang street-level. Padahal sama2 agen nya SHIELD 😂",
1465877614875140099,en,False,2021-12-01T02:57:12.000Z,black widow movie makes the pain go away,
1465877488844914696,en,False,2021-12-01T02:56:42.000Z,@TequilaMock_mi not sure how I feel about it as a whole album quite yet (gotta give it a few more spins) but Black Widow Spider and Homo Sapien are infectiously catchy,replied_to
1465876498968190980,en,False,2021-12-01T02:52:46.000Z,Black Widow https://t.co/tUIBMlfL69 #BlackWidow,
1465875644554829829,en,False,2021-12-01T02:49:22.000Z,@SonOfThaMars i watched black widow. i think that's the name it was good . so i started loki,replied_to
1465875098833985536,en,False,2021-12-01T02:47:12.000Z,"For those who wasn't here for the last 5 years, the Black Widow had lead the Avengers.
You All better don't forget about it. https://t.co/TnMDyqnNEF",quoted
1465874915903557636,en,False,2021-12-01T02:46:29.000Z,@RPK_NEWS1 And Hawkeye Black Widow can't get a Trilogy Smh,replied_to
1465874847158915078,en,False,2021-12-01T02:46:12.000Z,"@NikkiSteveReact @YouTube @Marvel My top 5. 

Black Panther
Black Widow
Civil War
Infinity War/Endgame
Shang Chi",replied_to
1465874718834278408,en,False,2021-12-01T02:45:42.000Z,Black widow while the rest of the avengers flying above  https://t.co/pOKdmuqMU9,
1465874422376673283,en,False,2021-12-01T02:44:31.000Z,@liilredbull Bleach tips red roots black widow style,replied_to
1465874365455777793,en,False,2021-12-01T02:44:18.000Z,"Sheer Deadication Maxi Dress 
 https://t.co/pKMVDvkOwf",
1465874334115848198,en,False,2021-12-01T02:44:10.000Z,"Black widow ✅
New Scobby doo✅
Night books✅

Now back to my #cdrama #courtlady https://t.co/9aMYB3oHey",quoted
1465874276406501380,en,False,2021-12-01T02:43:56.000Z,"Hey @HeyItsBWags, @xArcky, or @StrumSlinger, can you let us in on how to get the Black Widow Man Suit? I NEEEEEEEEED IT! https://t.co/sAsqEOMogA",
1465874188351197188,en,False,2021-12-01T02:43:35.000Z,@MarvelSpain Y black widow,replied_to
1465873603023495173,es,False,2021-12-01T02:41:16.000Z,"@BuhardiMarvel compa, no pongas de referencia a ""black widow"" que se cayó de narices en todos lados.",replied_to
1465873467971096578,es,False,2021-12-01T02:40:44.000Z,"me dan ganas de arrancarme los oídos cada vez que escucho que dicen ""la viuda negra"" que te cuesta decir BLACK WIDOW",
1465873080962609153,en,False,2021-12-01T02:39:11.000Z,@Pomslatte Black widow,replied_to
1465872916076281858,en,False,2021-12-01T02:38:32.000Z,"Still nervous after seeing that black widow, I’m tripping",
1465872778645716997,en,False,2021-12-01T02:37:59.000Z,@Wick014 @MCU_Direct They made the wrong call that is all I am saying. With both Black Widow and Hawkeye they decided to use their solo outing as set up for mantle change. The other Avengers did not have to experience this bs. No one is begging for these characters right now it is just poor decision.,replied_to
1465872647263293441,en,False,2021-12-01T02:37:28.000Z,idk how black widow isn't a popular avenger.... she's fucking AMAZING,
1465872563461046273,en,False,2021-12-01T02:37:08.000Z,"@Halfempty621 Yes, so long as it has a black widow on it…somewhere.",replied_to
1465872499200065536,en,False,2021-12-01T02:36:53.000Z,"BLACK WIDOW 2010, ISSUE FOUR https://t.co/aHmmaWhUMt",
1465872114632777728,en,False,2021-12-01T02:35:21.000Z,"Shepard and Garrus made it to the bar.

(This is actually my Black Widow file but I couldn't resist and yes, she's in an N7 sweatshirt)

#sims4
#MassEffect https://t.co/9PkNU84rwz",
1465872067925000192,en,False,2021-12-01T02:35:10.000Z,@MauLer93 hey I think Elvis the Alien ripped off your Black Widow video,
1465871355178536965,en,False,2021-12-01T02:32:20.000Z,"@KhameekJ03 unfortunately i think he is, just like black widow and hawkeyes.
the madame hydra plot is being driven by these heroes.",replied_to
1465871148776931328,en,False,2021-12-01T02:31:31.000Z,Black Widow need to let me beat https://t.co/FuJMV833EK,quoted
1465871087741276167,en,False,2021-12-01T02:31:16.000Z,Black Widow https://t.co/wLsd1AvFUs,quoted
1465871079851925512,en,False,2021-12-01T02:31:14.000Z,"BLACK WIDOW, ACEPTO https://t.co/pJAgbNNaar",quoted
1465870514463911940,en,False,2021-12-01T02:28:59.000Z,@Fandango Shang-Chi and Black Widow.,replied_to
1465870396142485507,en,False,2021-12-01T02:28:31.000Z,"THE WEB OF BLACK WIDOW 2019, ISSUE 3 https://t.co/CEwThhmnf1",
1465870111688912900,en,False,2021-12-01T02:27:23.000Z,"@bnhywhyman @Crimson_Mayhem_ Tbh I was just referring to Black Widow and Eternals. I liked the shows actually. I thought WV was creative. The exposition was necessary for that plot line, and honestly F+WS had even more exposition and I liked that show even more. I enjoyed Loki as well.",replied_to
1465869691394609158,en,False,2021-12-01T02:25:43.000Z,"@VviewSsonicMair Mmm... intoxicated sense of self destruction, black-widow penchant, and romantic soul to boot! A veritable Juliet!",replied_to
1465869622243205126,en,False,2021-12-01T02:25:27.000Z,"@aimeeterese Every human being on this planet has a right not to have to risk getting bit by a poisonous black widow spider, yet every single day millions of them probably come within 12 inches of one. Think about that",replied_to
