tweet_id,created_at,lang,text,possibly_sensitive,type,clean_tweet
1465928802454970371,2021-12-01 06:20:36+00:00,en,"All I want for Christmas, is fair legislative representation, gun reform, and some sort of universal covid response.",False,,all i want for christmas is fair legislative representation gun reform and some sort of universal covid response
1465928801548836868,2021-12-01 06:20:36+00:00,en,@BAYC2745 @Animetas1 @psychedelic_nft @ongkarhian @iHocusPocus_ most fashionable protection against Covid ever,False,replied_to,nft most fashionable protection against covid ever
1465928800185851906,2021-12-01 06:20:36+00:00,fr,"@LiliQUEST1
Je te l'ai fait 
https://t.co/zoF671uifD",False,,je te l'ai fait
1465928799363735552,2021-12-01 06:20:36+00:00,it,"Vaccini Covid, il dramma ignorato | L'editoriale di Federico Fubini https://t.co/lKN043W3bg",False,,vaccini covid il dramma ignorato | l'editoriale di federico fubini
1465928798877011970,2021-12-01 06:20:35+00:00,en,I got fucking covid 🙄,False,,i got fucking covid
1465928793319743488,2021-12-01 06:20:34+00:00,en,"Live by the sword, die by the sword. #Covid_19 #Omicron https://t.co/QqTmxhpg1V",False,quoted,live by the sword die by the sword 19
1465928789007888386,2021-12-01 06:20:33+00:00,en,Maharashtra marathwada in the district diat village st bus people Lok sabha off on🦠 Lockheed understand not closed police👮😷 days😷🦠 date 1-12-2021 date 1-1-2023 COVID🦠😷 uddhav Thackeray chief minister😷 COVID😷🦠 deihl supreme Court Justice customer LIVE today COVID🦠😷,False,,maharashtra marathwada in the district diat village st bus people lok sabha off on lockheed understand not closed police days date 1 12 2021 date 1 1 2023 covid uddhav thackeray chief minister covid deihl supreme court justice customer live today covid
1465928787875483649,2021-12-01 06:20:33+00:00,en,omicron: Japan starts booster Covid-19 vaccinations amid omicron scare https://t.co/0Qals0g9TN,False,,omicron japan starts booster covid 19 vaccinations amid omicron scare
1465928787409850369,2021-12-01 06:20:33+00:00,en,Jammu divisional commissioner reviews Covid mitigation measures amid Omicron scare https://t.co/fket1qfVeq,False,,jammu divisional commissioner reviews covid mitigation measures amid omicron scare
1465928783513497603,2021-12-01 06:20:32+00:00,en,@JoopSoesan @FoxNews She has completely lost it. Mild Covid?,False,replied_to,she has completely lost it mild covid?
1465928781378596867,2021-12-01 06:20:31+00:00,es,"‼ Extremadura notifica 135 casos de covid este martes, una cifra que no se alcanzaba desde inicios de septiembre‼ https://t.co/IeDWkkyIok",False,,!! extremadura notifica 135 casos de covid este martes una cifra que no se alcanzaba desde inicios de septiembre!!
1465928780464201731,2021-12-01 06:20:31+00:00,es,"@GobiernoMX @lopezobrador_ @buendiaymarquez @El_Universal_Mx El COVID también es popular, no necesariamente bueno para el pueblo.",False,replied_to,universal mx el covid tambien es popular no necesariamente bueno para el pueblo
