username,location,user_id,name
olivemozart,,830148391,Olive
GenocideReaper7,,1251620354570756096,Geno
wmuller_,Brasil,1317271975417516034,Wilhelm 切支丹
SamMill55522037,,1070046705343709193,Sam Miller
News_8,"Rochester, NY",16453340,News 8 WROC
Aydin_Adam,"Broward County, Florida, USA",21399864,@Aydin_Adam
hooplifenews,United States,151622619,The Hooplife® Brand
PoliticallyBo,"New York, NY",31405147,Bo
Whoiskenia85,,1444172171241213954,Kenia
meganxnoel,"Honeywood reconstruction, ACNH",901360294647054336,megan
Catarrao1,"Ordino, Andorra",1022236356418957318,💛Miss Marieta💜
TomButyrady,,1453843909067649030,Tom Butyrady
zoerbfarms,,1170532796,Dale Zoerb
FranceChicago,,1389693431723741192,Windy city France
penguinksu,,182418697,penguinksu
SteveJebb1,Shropshire ,1420160988540809218,Steve Jebb 🌸
daryllongmuir,"Glasgow, Scotland",26821916,Daryl Longmuir
pedromatic,"ÜT: 26.178764,-80.11775",14953091,Joe Kamala
oddbesos,"Daygo, CA",318042532,Naomi⚡️
tommycallahan61,,1255563116609404928,🙂The Tommy Callahan
agentofhonesty,"South Dublin, Ireland",989947602337714177,A. Dude
Alex343,"California, USA",33829032,🔫Alex🟠
saneandbrave,,1365247100653629442,Saneandbrave
gardening_kate,EU 🇪🇺,836269814150746116,GardeningKate
9NewsAdel,"Adelaide, Australia",259506084,9News Adelaide
discoball2000,Australia,793964025490984961,discocat
AnnikaTyckerAtt,,797515644916875264,Annika
LarryTonui,"Kericho,Kenya",184796914,Hillary K Tonui
PatrickJamesF,"Melbourne, Australia",2832567467,Patty 🍀
AdielDontCare,"Austin, Texas",1458876393325043719,It's Adiel Beneviento ~ 🇺🇲
cookiris14,"Schottland, Ecosse, Alba",726721533142511616,ICE//BrexitLügenpolitik 🇩🇪🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿🧐
Cindy63306167,,495156613,Cindy
Silv4mirelly,"Paraíba, Brasil",1356345960897667074,Mi
Sav4478,,1463587288051425281,SAV44
dastrapool,The mountains,9261242,Hivemind
gauged_honor,Earth,1455172233672871939,GaugedHonor
BMadiline,,1450841778446344195,Bridget Madiline
robj1028,"Maryland, USA",2874555085,Rob
EricHar16025556,,1290070161244864512,Eric Hartmann
ShaunOFtheMafia,"Buffalo, NY",1081503492,Shaun Piontkowski
TheCCShowcast,Join or Die Studios,1463720040717602816,The Constitutional Conservative
SMinxhozi,,2884909475,skender minxhozi
dianamacmor,,309401519,Dios es Todo!!!
SaintXrpZar,,1292553272964911107,HTMediaCrypto_XRpZar
sdrawdenna,"Arizona, USA",1310809005174870016,Hailey
ThemReview1,,1459962558538928128,ThemReview
JamesHamiltonB,Clownworld,1346453410422415360,James Hamilton
HaoleThai,"Qui Nhơn,Bình Định, Việt Nam",942240917771059200,LE THAI HAO
K9Zeus16,"Communist Twitter, USA",786691979975458816,K9zeus 🇺🇸
TechieGeekoffic,,919788244086153216,Techie Geek
Stillwatermark,East Cost,379265217,Mark Smith
racheljowalker,"Boulder, CO",98134220,Rachel walker
walicolt2020,Could Be Anywhere,1016776383811506176,@WaliColt2020
punto38_es,España,841618227033710593,punto38
CynTervention,"Here, There, and Yon...",763707488,Cyn Tervention
mby_sbu,South Africa,714266541194407936,Sbu
Nekosmom,"Victoria, BC",24212580,Alexis Dawn Fox
Mohammed_Amin,"London, England",128364810,Mohammed Amin 🔶🇬🇧🇪🇺
9NewsAUS,Australia,22993014,9News Australia
andregermain83,,175472441,andre james germain
King_DREAMER,,205039538,Mugiwara no Steve
BertoJongman100,"La Haya, Holanda",209492244,Berto Jongman
crazy4cocoapuff,"Center ring, Big Top",289652333,Tricia
white_panda14,"Title Town, USA",549765040,The Pearl Strickland
hyorgyo,Cdmx,3917934620,J Aguilar L
smokeydogg777,USA,2742779667,Smokeydogg
KTABTV,"Abilene, Texas",2363765797,KTAB News
toddgtoronto,"Toronto, Ontario",2460773946,Todd Gordon
wkyc,"Cleveland, OH",14296548,WKYC 3News
Mcdoublestuff1,,1062554109335793664,Mc double stuff
Valerie52659143,Sin City,1448692381872627714,GreenishValerie
TashaCSS,"Denver, CO",4882304561,CSS
Herbert_Keg,,1246809092250841094,Herbert Kegel
figuremonkey,"To the left, to the left",345907789,Dan
ryang6916,"Louisville, KY",1348111649924898816,RYANG6916 🇺🇸👊
schlau_w,Germany,1371098213214740483,Schlau weil ich weiss wie dumm ich bin
richnewyorkerog,,1458642947017097217,🇺🇸 RichNewYorkerOG 🇺🇸
Jambon90832215,,1366868979621502981,Jambon
sanalgercek42,,883325727315296256,Alpertunga
MaggieCotter5,Cork ,1447252848648069122,Maggie Cotter
CatmanForever,Australia,17957621,"I am Not A Bot, I'm a human bean"
DennisBaldridg2,Michigan,1148215318407458818,Dennis Baldridge
johncrogers4525,United States 🇺🇸🗽,909024366410780672,Not today my friend...
alikatky,,1239233485,Alison
IWebmedias,Haití,1146530842199625728,Impulse Web Medias
GulagMember0515,,1271294336047742976,Naturally Immune
elcomunistanet,elcomunistaprensa@yahoo.com,300484093,elcomunista.net
kentbike1,,25107265,Kent
nurishtable,"Sydney, New South Wales",1372106158228393985,#nurishtable
psymantis08,,59010798,Andrew McDermott
WEAA889,"Maryland, USA",45488011,WEAA889
purdey364177,Manchester,253747039,Denise 💙
Sadest_hoe,,1408344750768406532,French janet
JeanPierreBarb1,,446254006,Jean Pierre Barbe
greenstone2020,,1291474704440504321,greenstone76
atwal_brice,•Yorkshire•London•Manchester•,222171026,Michael Atwal-Brice He/Him
healthlifestyl0,,1445991924628815876,Health Life Style News
DammeFreyja,,1304153399873515520,FreyjaDamme
hookertantrum,,1403169478221828099,sEx•wErKeRs•aNoNyMoUs
bell3kell1,"Nube14107, Urano",1448792509874835461,🌸Belle Kelli🌸🩰😇
FIamengoooo,Campo Grande RJ,1141040008901648385,Flamengo⚪
gr_grim,Italy,2339316667,Grim
IamDamianP,"Charlotte, NC",720017795673636870,Damian Phillips
footmdrph,"Absecon, NJ",15350736,footmdrph
Roberttimestwo,Born in Somerville now W-Mass,251435647,Robert
VaxBotSD,,1377520028635914243,VaxBot San Diego
debburroughs,"Idyllwild, California ",19274143,Deborah Burroughs
giogiomilani,,1072189747940995078,𝑀𝑖𝑙𝑎𝑛𝑖
KC1013,Connecticut,39538375,Connecticut's KC101
jonaslivremente,,1089168441586659330,Medeiros
Grumpbert2K,"Manchester, UK",937220377935261696,Grumpbert-2K 🇬🇧❤🇺🇸❤🇪🇺❤🏳️‍🌈❤🌍
CoreyCo69810688,Penna.,1374436750378950660,Corey Cole
charlie40660384,,1395827900750962692,charlie
stfu_cat,,3082457235,Cat
AbPeFa1,,1249443574250233856,Lomito machuchon
Veglam,France,250366561,Veglam
wirraa89,,3077080058,Wirra89⚡
Gob_Guarico,Guárico,1259683140,Gobierno de Guárico
otb_seye,Abuja ,600380305,The Seye Afolabi.
edsonpla70,"Pelotas, Brasil",284296047,edson porto planella
KARIMAMARKHODJ1,Bretagne,1324685103772160000,KARIM
Ehehe7516,,1442998908431450117,Ehehe
felixbleno,"New Jersey, USA - Guinea",512636378,Felix B. Leno
HananJiyad,London,1056498051613974528,Hanan
ElHeraldoSLP,"San Luis Potosí, México",242610822,El Heraldo SLP
Raymone__Sr, USA,1305206068952301570,Ray H Sr
MovingP73543198,The Universe,1216109138536779776,Moving Pictures
olivier_winter,"Ille-et-Vilaine, Bretagne",509340625,OlivierWinter
KeliaWashington,,967870511517765638,KeliaWashington
CryptBehram45,México,1251731813128499201,D●t Behram Sama ⭕🟡⚫🐍🌖
GiveOursBack,,1360227293617037313,March
ofatomaringa,,1110631703486308352,www.ofatomaringa.com.br
LindaMi14118735,,1313407652202975232,Linda Miranda
Char61303798,,1347619902295732227,Char
Sthibo9502,Pretoria//Kwandebele,4026450916,T H A B O
SparkyAyaka,,379686219,Sparky
AlsosiFCB,,1469356615,Alsosi Nospotengañà
cmtpitts,"Portland, OR",2604000008,"Christine M. T. Pitts, PhD"
mysweet_tae,Honeymoon ave,924580763332481024,eugi* ||💅🏻아머 JIN’S WEEK EVERYONE
RyanLan04214169,,1427337316348043264,Ryan Lang
Matkido1,,1349108419932917760,Matkido
ShaneCrowther3,,1422130538727411714,Shane Crowther
diariomallorca,Palma de Mallorca,68441909,Diario de Mallorca
JoshDaLosh,,294589268,Josh Da Losh
HGordonF2,"Washington, DC",1176982120176279555,HAL
HCPSoCal,"San Diego, CA",31459431,HealthCenterPartners
KateBieri,"Las Cruces, NM",1666932853,Kate Bieri KVIA ABC-7
jorgecortell,Mediterranean,390070248,Jorge Cortell 🔻
wwwwwwinter,,933832862243213317,snowman ☃️
aisnenouvelle,Saint-Quentin,482096727,L'Aisne Nouvelle
Amsemfronteira1,"Manaus, Brazil",1223752876822028288,Portal Amazônia Sem Fronteira
mplngr,DC,112606941,Mara Pillinger
DelfiLV,Latvia,20577579,Delfi
scottop5dogs,"Orchard Park, NY",1291859212063121413,5dogs scott op
S3ASTON3,Deutschland,1394708754621423616,Seastone
politicoca,"California, USA",3401761931,POLITICO California
exitosape,"Lima, Peru",2205328350,Exitosa Noticias
zeljkobil,"Saskatoon, SK,Canada",45713609,zeljko bilandzic
josh_laff,"Doylestown, PA",2439048951,Joshua Laff
ShawnHe74166008,"Indiana, USA",1312022246563680257,Shawn Hendricks
monika_mazurek,Catania ,908107531,monika mazurek 
andrew_tull,,752763206,Andrew Tull
Purplekathyw,New York,348453398,Kitkat
masslivenews,"Massachusetts, USA",14408989,masslivenews
bglons1,,1829849870,Brian Lonsdale
CarrieJL,"Southern California, USA",43067763,Carrie
VivaLaPatriots,Title Town USA,1169248022754209792,VivaLaPatriots
RobertFritzenk2,,1465390158178443265,Robert Fritzenkotter
Owenins,,309317020,Owen Robins
AuntPrays,USA,1413486474402562054,AuntMollyPrays
thestinkmarket,Boca Raton,998667035637899264,"Senator Eloise Williams, CFA, MBA, PHD (doctor)"
markwstephens,Houston,22666107,Mark W. Stephens
PortosTV,"Pau, France",828446800445054976,"Dimitri ""Portos"" Correia"
fernandopersob,"Brasilia, Brasil",1089849601652375552,Fernando Sobrinho
jamesfallon40,,1090540103611699200,I'M SPASTICOUS.....☘☘☘
Offalis,,56063751,David M.
garciasary56,,2319050802,seg
HarveyNormal,,1394399586500837376,Harvey Normal
MCarmen72195771,,1040871668745494529,M Carmen
Kelly_Taylor__,middle of no where,392226668,KellAug™
PhillyWCWagon,Philadelphia,334403035,The Wagon
NathaliePrs,IdF POLLUEE. ,2231456850,Nathalie Pfizer2/3 sous FFP2 ouvre les fenêtres
DPCDSBSchools,Peel Region & Dufferin County,444024772,Dufferin-Peel Catholic District School Board
sarang143u,"Hyderabad, India",773485929969414148,Sarang Pokhare
cara_m_brown,London,277182169,Cara Brown
GiveOursBack,,1360227293617037313,March
OtoAlami,Casablanca,414243807,Othman Cherif Alami
blackintheempir,"Baltimore, MD",946018506268700672,Black in the Empire
limaconginebra,,269854015,pepi santiago
UglyCuteKc,,1456361361756368896,Kaicee
calnbg,,1110305418,Disneyfan
uOttawaInclu,"Ottawa, Ontario",1015746323251957766,Diversité et inclusion | Diversity and Inclusion
FrankFransen2,Nederland,730417550228635648,Frank Fransen
Euro_Examiner,France,1386095518045155331,Euro Examiner
LiberalFenix,USA,80415454,Fenix Vaxxed & Boosted! 💉
kieron_35,"Durham, England",1267115082473000962,kieron
blackzillaaa,,956964160536944641,Blackzilla
IllinoisExposed,Illinois the Corrupt Cesspool,345576024,Political Corruption Exposed - Illinois
mharangel,venezuela,227307540,haraujo
CMcPhee10,,310559079,Cathy McPhee
John25872967,Australia,535785392,John Carter vaccinated rat from the cave 🐀🔥🔥
rcwhalen,New York,27212395,R. Christopher Whalen
Turkish_hackney,north london/hackney ,210901084,🏋🏻‍♂️🇹🇷🇬🇧
Angelica563,"Chandler, AZ",120995032,Shadowbunny49
jeffigs,021,2569671179,𝑫𝒆𝒗𝒊𝒍
thekinkydevil,,18225400,🤌Snappy Finga Gunz👉🏼 #BlackLivesMatter ♋️
NachoOliveras,"Ginebra, Suiza",300466401,Nacho “il Zonzoliere” Oliveras
sgwaweruh,nairobi mombasa Nairobi,823910767,sam waweruh
ruthhandre,,885594739,.
lawrepforjesus,Uranus,1141904481862348800,👽ɟlǝsɹǝH uɐʇɐS©®👁🐝e 💉💉
cesaragarciam,,138267431,CESAR GARCIA
Trige56673987,El circo,1425134704219594757,Marta
jorgebodyandmi1,,1099488099699224577,jorgetv25
dee_highlander,,1147889100755800064,K-Man
stolarzrobert2,,1450074631491235841,Robert Stolarz
FLAREALTORPCB,"Florida, USA",1062871529229299713,PCBFLA
sodustrends,World,1354671370593062913,SodusTrends
jorgeorwell_1,,1351497478932213760,Jorge Orwell
KevlarSurrey,"Congleton, Cheshire",69285346,Kevin Cameron
fullgrownpupper,Florida,1155481816662454272,Good Boy 🏴‍☠️✊
MiledalMilly,,2905742177,Milena Milly
Hamza60701272,,1422978063000866818,Hamza
HaslindawatiHas,St. Louis. MO,464822770,Haslindawati Hassan
ellefranco5,Treaty 6,1054149497943662592,elle franco
GilTassin2,ici et la bas,1282743568910684167,Gil Tassin
usemybrainxx,"London, England",1242872077440421894,Not living the new “normal”
Herniu9,zwischen Rhein und Elbe,4656616654,Herniu
RyanLan04214169,,1427337316348043264,Ryan Lang
JENNIFE86002212,,1303788612266471434,DARK VADOR 666
SarsfieldsGfc,Wexford,1048370581,OfficialSarsfields ❤💛
news_finale,,1323293082012536832,NewsFinale
Tidiane84101146,,1312294507128532992,Tidiane
lewisyeo_,,3332968054,Lewis Yeo
Bugsbugbugsbug,,1464357014067421195,Bug
CoachtMetHond,"Róterdam, Holanda",1257705350477873152,Arno 📵
BlindSideNZ64,"Rent free, your head",3309177740,BlindSideNZ
jn28red,"England, United Kingdom",1420667076885295104,Dave Wray IV
mino19134204,山形 庄内　(冬はユーミンの地…………ブリザード),1305668343764905984,mino
FionaMosgrove,"Banchory, Scotland",1178204300553666561,fiona mosgrove
rick_pittman,"St. John's, Newfoundland 🇨🇦 ",122274835,Rick Pittman
DKShaner1,,1191908703294898176,Bunk Shaner
jefflee81258649,,1360798378670649348,jeff lee
BroCarolina,"North Carolina, USA",1393244853132271619,Based Chad
mo9377,,959294806911369218,mzr
RoadRunner91101,,1435769306915213316,RoadRunner
Vlade_410,"Baltimore, MD",125808366,Vladè Vuitton Don
andygrace2,Belper,299865060,andy grace
STOCKMASTERJAY,A PRONOUN FREE SAFE SPACE .. ,1399696921556566016,STOCKMASTER2000
SevillaPress,"Sevilla, España",243731854,SevillaPress
nada96898911,,1006271386891870208,nada
AnthrpicScholar,,579546588,AnthropicScholar
dangordonTO,Toronto,996091583903752192,Dan Gordon
newcivilrights,,17478965,New Civil Rights
Katekat33055760,,1248955002447634432,Kate@kate
Iv_Ls20,,3731990183,J
AmerIndivis,,824699988953460738,Indivisible
BernhardFahn,,1215237810363478021,Bernhard Fahn
DBellbottom,"Northern California, USA",1380603064793501701,DubiousBellbottom
EmmyCole442,"Lagos, Nigeria🇳🇬",1057276816392679424,Don't take the vax 💉
kiss957,"Hartford, CT",23836910,KISS 95-7
sarang143u,"Hyderabad, India",773485929969414148,Sarang Pokhare
XCapTrader,Texas,1360589626025664512,XCapTrading
5_by_26,"Cape Cod,MA",514025895,🧜‍♀️Laurie🏴‍☠️
RheaumeSteeve,,1362044147088183298,Steeve Rheaume
Chris61714354,,961648062581170176,Great Bariton
damogaymo,,1317970175216521216,DamÓ 🏳️‍🌈
fatgrumpycat1,,1347408152912748545,fatgrumpycat
Daniela71818899,,743271448014290944,Daniieelaa
RobertN51219021,,825694011553959938,Robert Norris
Pitxur,"Urretxu, España",137473255,Pitxu Katxu
WTNH,"New Haven, CT, USA",14262811,WTNH News 8
kat1567,,550245803,Kat O’Connor 🇺🇸
followkevykev,,2644181157,Kev
HawkPotato58,"Avalon, PA",3376689508,Corpsewifey 💙🖤⚰
visigir,,1403781159117459458,Visigir
nflrums,ATL ,243097849,NFL Rumors
CapparaJarett,,1428844035607867392,Jarett Cappara
thehill,"Washington, DC",1917731,The Hill
SunshineMilonga,"Florida, USA",814078857980604416,Sunshinegirl🇺🇸
ByJoshLewis,"Montague, PEI",151097395,Josh Lewis
graphicnews,"PEI, Canada",77547888,PEICANADA.COM
EmersonOverton,NYC/USA Twitter Since 2012,619152137,Emers😘n Overt😏n (smart nature)
Joseph_Del2021,,1427238201752702977,Joseph
SAudet80,au Québec,1277024785923440640,SAudet
Desotofamilyca1,,1093727980428226560,Desotofamilycareclinic
DbackFan918,"QC, AZ",815384326338539521,AZ Knight
ManU_insider,,1553995795,Steven Smith
MALARIYANG,🇱🇧🇩🇪,1322281302679265284,モハメド・アリ
RealMarlinsFan,Everywhere you need me to be ,567389852,🅡🅔🅐🅛Ⓜ️🅐🅡🅛🅘🅝🅢🅕🅐🅝 
AnnieBannister,Leicestershire,61432858,Annie Bannister
riccardosanna14,Sardegna,1123858502118776834,Natale Gesù Maria
rich_seen,,1451927866531328010,things_rich_has_seen
azadaliCCM,London,371736257,Azad Ali
marju72473374,,1337962493432508417,marju
NBWMedia,,1300043118973075457,National Broadcast Works Media
BeingCharisBlog,Nisenan land,809229324813352960,Mx. Charis Hill ♿🏳️‍⚧️ (they/them)
DarrenEdmundso1,Pembrokeshire ,1335782726801166337,Pembrokeshire-Patriot
IndianNation_,India,1294731769325842432,The Indian Nation
affreux5,,1357042076169498624,affreux
1944jnewell,,3053739264,Two Feathers
fernandopersob,"Brasilia, Brasil",1089849601652375552,Fernando Sobrinho
albi2103,,145058470,Oeil de Lynx 🐋
gaycivilrights,Everywhere you are.,18301196,Gay Civil Rights
SamGodwell,,889906238565122048,Sam Godwell 🇺🇲
bglons1,,1829849870,Brian Lonsdale
