location,name,user_id,username
"Seattle, WA",Sara K. Runnels,16636488,omgskr
,tal,1723947216,tainicol
,Paupau,844685864135544832,eniluapkazcbos
Amsterdam,Breaking news every hour - Follow us,1427513309360795675,jobpings
,Katharina Hollander,246296273,vabt30
"East Midlands, England",Stephen Thomas,1415692225065979911,UKcarnivore
Getmeouttahere!,Castiel’s Granny,1304884985837518857,CastielsGranny
,Katie,1414488435469996034,Katie02305
"London, UK",N A,1362177019,NahidAlaei
Varese,VareseNews,15790363,varesenews
"Ontario, Canada",Daniel Ferreira 🇧🇷🇨🇦,1279012560126259200,RedPilledIn2018
South Tookland,Ray Watts,12591732,raywatts
New Zealand,Dxnvin,2477906833,MaoriBoyDB
,Buffy - Behind the Maple Curtain,1377619867713601546,BuffySu58183737
"Flagstaff, AZ",THC University grad,4731445056,EricEcbaker4
"New York, NY",Jeff Jarvis,11435642,jeffjarvis
,krishankantchoudhary,4842918480,krishankantcho1
Texas,Ladybird,2963995166,IdleDivinity
"Santiago, Chile",Paz Zárate,122820406,paz_zarateb
"Washington, DC",El Político,88537980,elpoliticonews
"Park Rapids, MN",Park Rapids Enterprise,780846517242343424,PR_Enterprise1
,Amy Corfu,1308765720256434177,AmyCorfu
,Denis Brosnan,1246348261599907840,DenisBrosnan10
"Murcia, España",CristianM,1184569098899984384,CristianMgna92
Madrid. ,ECSaharaui,1201828728,ECSaharaui__
,Pops,1369454647400890370,Flowerfish101
Worldwide,English Headline,1346274301285117954,englishheadline
DWORP,Marc Tack,275116108,PAPITSOE
maricón. nb.,tomie.,1359528844592562181,SANTADlESTRA
,Thalain Berenth - 💉💉 schützt!,1241481332754190336,TBerenth
,Glen Powell,148120252,Rumplestiltskis
Campinas,Aposentado...,1186061023,alves_cxando
"Monterrey, Nuevo León",agorapoliticamty,4752309372,agorapoliticamt
"if you know me, no you don’t",rant account,1208786010873745409,blvck_priv
Rusya,Alberto Tarantini,1396918537596424198,40_harami
España,Enespanol24,1385795253584732161,enespanol24
"Águeda, Portugal",Tomás Maia,1055807699785564160,tomas_maia7
on a train,Michael Majewski,88329641,majuiceski5589
"Springfield, MO",Dan Lucy,180168983,DanLucySports
,Kimera Aponte,1433552085392314368,KimeraAponte
,Chad A. Martin,2149752998,PROCHADMARTIN
,Theo Jordan,1328422666198544385,Theo_TJ_Jordan
"Arizona, USA",Heidiho,1443286460916928512,hi_heidiho
"Here, there, and everywhere.",CGS,1401586463817490437,unrealsgc
,Peter,1385991205234913287,PeterVe67447419
"Sydney, New South Wales",Crypto Aussie,1392848338102276097,CryptoAussie8
,Tim Bishop,84133581,Dreeaamzz
Washington DC,James P. Pinkerton,8859482,JamesPPinkerton
,Kingskid1776,1351047060271853568,RPordoni
"California, USA",Derrick,1279150044667473920,BeachLifeCA1
United States,Breaking News Alerts 🚨,322423197,NBLNewsLIVE
,blmmammo,1344739464568922112,blmmammo
GA,"Good Hustle, Bravos",541094930,unlikelydarling
,Zaffer Kan,4407357863,zaffer_kan
,"Mister Coolos (Complotiste, il parait... 😏🙄)",1275132113055027201,MisterCoolos
United States,Martin Van Nostrand,438054378,gregzhouse
 🌐_IS A BEES HOME ,AIy4RealSkill👔🛠.,1361022975898697731,FacksFactory
"Oz/The Shire, whatever...",📀🥭Regineitor🥭📀,1447356874110558208,RegiMangon45
"Sacramento area, CA",Anoosh Supports Justice for Natives,1465584632,AnooshInTheSun
,A. Adisson,1461381179949686788,_AAdisson_
United States,IrritatedWoman,16710420,irritatedwoman
"Baltimore, MD",SluttySlutSlut1,537487691,SluttySlutSlut1
EH / Països Valencians,Oasis.,1277664588281065472,basquimer_
"Barquisimeto, Venezuela",2DA CIA D-121 AEREOPUERTO,1446886075214016519,2DACIAD121
,James Rogers,405584357,jrogeky545
Canada,Stephanie Bryson,1098640660150845441,StephanieBrys11
"Charlotte, NC",YafavoriteTaurus 🤤,197657732,Laanay_
La Beauce,Chartrain Olivier,1177529941027692549,ChartrainOlivi2
,snake20,1366782184422522883,snake2074668845
Europe ,amy,14836154,amyji
"Michigan, USA",Darick Oswalt | CHARM3R,3092678020,thatCHARM3R
Banjarmasin,Lia aja,52946208,lia_aja
,Ruptura360,1056751745668390915,ruptura360
chile,DISIDENCIA CHILE,2449338924,disidente333
"Kathmandu, Nepal",Shiva Shrestha,1057658948667539456,Shrestha_Shiva7
,Best,803303539015618560,ba_antho
The Free State of Florida,Tony “Brandon” Edwards 🇺🇸,1148343031491375108,RealTonyEdwards
Jaffa Port,i24NEWS English,1322420269,i24NEWS_EN
"Pennsylvania, USA",Rev Dr Robert and His Angel,1091846620059189248,rdeane13
"Dublin, IE",mark daly,2724486937,immdaly
A beach in New Zealand - north of Dunedin,Bob the Pfully Pfizered Pfridge 💚,1222697129560293376,BobLefridge
,ً,1380148370489098240,GreenwoodXl
,Leicester FC Rat 🦊,1427735880479952903,LeicesterRat
,Scotto,1164533793115574272,ScottAl37023858
,Bogopol,1062086502010810371,Bogopol3
"Sydney, New South Wales",Laurie Horesh,289264257,LaurieHoresh
Switzerland,Mel en Suisse,3341241538,mel_giancarlo
,Anti-RESTRICCIONES,959380905331691522,FutbolImpact
"New York, NY",problemochild,1319778798167011329,hurdyoumalachi
,Tim,1035670988,TimTheTimothy
,RoxannaJoLee,1352296912926482436,RoxannaJoLee1
"columbia, sc",Holy Bullies,16362151,holybullies
hybe personel odası,beyz⁷𓍯 | seokjin day,957689499332567041,seuunshine
"Tennessee, USA",Bill Hickerson,4765194254,WDHickerson
"Washington, DC",REENA BHARDWAJ,61164461,reenabhardwaj
"Ile-de-France, France",FluctuatNecMergitur,708442690183163905,Erreur_781
République du Bénin,Gouvernement du Bénin 🇧🇯,3437782151,gouvbenin
,Bavasser,2547337129,Bavasser11
"Shelton, CT",Rudolph Hatch,1365441824509349892,rudolphhatch
"Santa Clarita, CA",Get Vaccinated Save Lives The Struggle Continues,898862288,rmyers555
"Meyerton, South Africa",Thomson Mashinini,2574038391,ThomMashinini
"England, United Kingdom",joe,956949334393794565,J0E_85
"Birmingham, UK. ",Mr Kwacky,223181517,Mr_Kwacky
,Andreas,3062324842,qndreas59
,Dick Niger,1465121706608103428,niger_dick
Texas,Jackie Aguilera,1318935945316569088,JackieAguiler15
West Sussex,Notrolling,1379827602295304201,Notrolling4
,HR,1002260764747616260,horacitodeloee1
,Gazzamatazz,1219265811212394497,garethr93290475
"Washington, DC",El Político,88537980,elpoliticonews
Calgary Alberta Canada,D Keeler,328016061,Groovindave
"Ile-de-France, France",Sam Kiopsal,1062355041229647873,Toganitang
,truthbeknown,1290275195761065987,truthbe53409180
,Ape trader,1335288145429098496,GJ84900829
mtz,slash,1306290321144373248,911slash
,Lonny Karlenzig,1464917020399443968,LKarlenzig
,VW Van Man 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇬🇧 #All Lives Matter,1189256783354826753,VWVanMan1
"Atlanta, GA",Seven,1279680842302926851,seventhagreat
"Nueva York, USA",exNYcop,1083540715127406592,JoeInver
,yeah yeah,286811097,crazydiamond38
Washington DC,Patrick J. Kiger,19182895,PatrickJKiger
"Washington, DC",Charles Holmes,889035664779509760,CharlesBHolmes
Jaipur,SociallyKeeda,1181834871875858432,sociallykeeda
"Lake Charles, LA",KPLC,20445524,KPLC7News
,RP,1432120761934770180,Rpesh69
Murcia,SER Murcia,461985375,SER_Murcia
,Mesiesam #X1MxUnido #LigaDeGuerreros,1245816061041053696,mesiesam
,Boom Pow Podcast with Nikki and Ozzy,1354919709880119298,ozzycorp1976
"Oxford, England",Cordelia Appleby 💙 #SafeEdForAll 🐤🐝,925850513761030149,CordeliaAppleb1
,Dereje G,1432079513219907593,DerejeG11
,JSB,1337865001063821314,JSB01219230
,Soma_Huxley,1198692921337188352,HuxleySoma
Colombia,Caramelo,195071562,Karenlizy
,guerrero_jaguar,1330949878827028486,JobRomero6
"Grants Pass, Oregon",Ed Wilkinson,48812085,grants_pass_ed
Nigeria,Naija News Agency,2598000222,NaijaNewsWire
"Renton, WA",Chris Mooney,836037748876201984,ChrisKMooney
,Edengrove123,1094988270755344384,Edengrove123
the persuit of happiness pie🤍,lucy🥧,1082739343603716097,softplacebswell
España,CREA 🇪🇸 HOGAR,287714956,creahogar
