name,username,user_id,location
La Faim Du Monde,LaFaimDuMonde,765874276947853313,
COVID-19 in Peterborough,covid19ptbo,1343378512485478400,"Peterborough, Ontario"
The Times-Tribune,timestribune,10680632,"Scranton, Pa."
Louisville Patch,LouisvillePatch,847849045724991489,"Louisville, KY"
11/22 🥶,keepsit1000,31035552,"Atlanta, GA (90's baby)"
XxyoongiXx,xxyoongi_xx,1466144666345263104,
🦞ANTONIOTTI⚔️ Stop Teacher Oppression of our Kids,townerman1,4168430639,Dystopia USA
Mata Hati-P,Mata3Hati,1291374504606748672,"Yogyakarta, Indonesia"
Kakashi Sensei,Kakashi72308120,1463591052447784965,
Lord_FireFox,FirefoxLord,1268234642307588096,"London, England"
Bernardete Aguiar❤🚩❤,arquiberlula13,57159372,Brasília - Brasil
cipollawasright,cipollawasright,1426966415538597889,
Brucey B,Bruceythebadass,1431085214344876035,
Melmac News,Melmac_News,952726705277292544,Melmac
Beans,Riceisalright96,1406070324664360960,
®Diana Montanari 🇦🇷🌐,DianaMontanari,132690768,Ayacucho. (Bs. As.) Argentina
Lilian Tzivian,LTzivian,1213365910414614529,"Riga, Letonia"
CoCo St Clair MP,aunty_rheenie,1423130025180614659,
Megan,meganinnorway,1009900668906344451,
Global Englishheadline,g_engheadline,784404259097960448,worldwide
Sarah Karlin-Smith,SarahKarlin,42703163,"Washington, DC "
L.A.M (Lisa),NminMic,1098429413824315394,"Pennsylvania, USA"
Eylülce,esenmikalsak,841331038324445184,
Brittany,brit7000,21429823,
SmartSally77,Sally77Smart,1396990219627372605,
Deixebles de Fiveller,DeixebleFivelle,1103418590278156291,
Torres Tan,sobing,25833570,
Harry Thomas,DrHarryThomas,1429437000,"Austin, TX"
ɐusɥ|ɥsuɐ ♏️,sameansh,1096590069266173953,MaHico
Successful REI,SuccessfulREI,2367328616,Estados Unidos
line,lintvsi,1039159330233303040,
OversSpecialist,OversSpecialist,788421682826514432,"Inglaterra, Reino Unido"
JR,woollymanmouth,901018643110051841,
⛅ 𝙏𝙟𝙚𝙧𝙠 Bos,TjerkBos,22214000,Uithuizermeeden ✓
Andrea MarGon ☘️,AMG_Aviles,272396969,Dublin
1000 Noticias,1000noticiaspy,1437413274966970376,Asunción-Paraguay
Mikel++++Azurmendi,mikelazurmendi_,181405964,BILBON
Informed Canadian,Srl82Shawn,710169133602742272,"Ontario, Canada"
.•°★°•Cat★Lady•°★°•.,PersianCatLadyJ,918179742695780353,"Ontario, Canada"
Dimitri Van Roy,DimitriVanRoy1,1366885585999265792,
Pirate Beachbum,piratebeachbum2,1453687903842877440,
Alexander Seale,AlexSeale,279484179,London
Roberto,roberto24051974,818567850323562497,
Fisherman of Port Lligat Mending His Net,OmarDefense,1351370296444510209,Salvador Dali Museum
LG,budzis,28548783,
#ShestyForVEZINA🗽,IgorShesterKING,3613036096,Madison Square Garden (NYC)
One News Page (United Kingdom),OneNewsPage_UK,97398694,"Brighton, England"
Adam Michaelson,AdamMichaelson9,1354501367889600514,
loula.lou,LoulaLouWho,1228051379090083844,
LG,budzis,28548783,
Kai Swanson Imnot,KaiImNot1,1303379297726615553,Illinois (sucks)
Pablo Moreyra A.,PabloMoreyraAlm,1286656813530742787,"Lima, Peru"
ponntus,ponntus2,1336647096435347456,
Frank Amico,FrankAmico1,619143914,
JUST ME!!!! ( Vince ✌❤😉),US647,1295148021018243074,HERE
Jornalismo Júnior,jornalismojr,15724156,USP
#BBBCrew Joyce Davis,JoyceSmileBig,1342237101140664323,Texas But I cant stand Cruz
peg,peg45205798,1357014992172711937,
Clinical Trials BC,ClinTrialsBC,1088155370,"British Columbia, Canada"
Kenyon Wallace,KenyonWallace,52087029,kwallace@thestar.ca
Matty Bennett,MattyBWba96,1268813275019567104,"West Midlands, Dudley"
Nan Rodgers,MissCat58,125028675,"Crossville, TN"
Willy Perez,perezwc21,2902855661,
nerasen,nasanniellob33,1223619917284507648,
La Befana,Sandernista412,902548250057728001,City of Champyinz 
れい,musiclinjp,3013249640,
A.K.F.,a_fad_es,14270447,Bronx
Radio Peyi,RadioPeyi,2932047311,Guyane
Twiista DE🌪,Twiistas,2345909200,
Noticias y turismo en Puebla,Poblanerias,49801669,"Puebla, Puebla"
Oh boy the gangs all here,KaylynMcknight,1270174421504983049,Augusta Maine
Fringe Culture,adrenogate,1244763987851595780,"Salt Lake City, UT"
Wredny Slawko,WredotaS,1230468829869940736,
harpreet 1995,hs47641,1652609936,"Chandigarh, India"
نيوز كوم,nuwscom,324929690,دولة الكويت
"Christopher, Esq.",ChrisAlbertoLaw,2566363472,"Boston, Massachusetts "
Xxxtentacles,XTentaclesBro,1243419209356283911,
Maestro Yoda,JediPerLItalia,1382061418577559556,Coruscant
Daily Khabar,Harpree09398061,1413417577997471744,Chandigarh
Bowtied Caiman | Hardboiled,BowTiedCaiman,1173256972747124737,Carcosa 
lili,lili27809204,1208252629916114944,
Green Pass News,greenpassnews,1443221217561939974,
1finekitty is VAXXED (COVID & FLU) & MASKED! 🌊🔜,1finekitty,130607739,"I enjoy eating, pooping, & sleeping. Other interests include looking out the window."
Adam Skinner,adman22again,144101355,
Expat handler 🏢🏚💉💉,BeaMiton,120831037,"Paris, France"
Travis,tooomuchtravis,1239955711599271938,
Alex Carvallo,carvallo_alex,2903120002,
Angelique 🙏 Waiting for 3rd shot ❤️⭐️,Antarktis55,83629574,Low Covid incidence location
Juan Mari Telletxea,ea2dop,334036583,ITUREN
Ral,Ralston727,1371383501518372867,West
Caitlin Johnstone ⏳,caitoz,19899980,Australia
Geecheegirl♈️🌴,kyabro92,145841239,North Charleston South Carolina 
AMISTAD604,AMISTAD604,30119049,
CroakeyVoices,CroakeyVoices,1242016152768770049,
